run_id,priority,comparison_group,group_title,order,curve_label,config_path,history_path,reason
mt5_small_baseline,core,factorial_tokenisation_capacity,Tokenisation and Capacity Loss Curves,1,mT5-small baseline,coursework/configs/mt5_small_baseline.yaml,coursework/results/loss_histories/mt5_small_baseline.csv,Shows whether the tokenisation gap appears during optimization rather than only in final metrics.
byt5_small_baseline,core,factorial_tokenisation_capacity,Tokenisation and Capacity Loss Curves,2,ByT5-small baseline,coursework/configs/byt5_small_baseline.yaml,coursework/results/loss_histories/byt5_small_baseline.csv,Shows whether the tokenisation gap appears during optimization rather than only in final metrics.
mt5_base_baseline,core,factorial_tokenisation_capacity,Tokenisation and Capacity Loss Curves,3,mT5-base baseline,coursework/configs/mt5_base_baseline.yaml,coursework/results/loss_histories/mt5_base_baseline.csv,Shows whether the tokenisation gap appears during optimization rather than only in final metrics.
byt5_base_baseline,core,factorial_tokenisation_capacity,Tokenisation and Capacity Loss Curves,4,ByT5-base baseline,coursework/configs/byt5_base_baseline.yaml,coursework/results/loss_histories/byt5_base_baseline.csv,Shows whether the tokenisation gap appears during optimization rather than only in final metrics.
byt5_small_baseline,core,retrieval_full_vs_baseline,Full Retrieval vs Baseline Loss Curves,1,ByT5-small baseline,coursework/configs/byt5_small_baseline.yaml,coursework/results/loss_histories/byt5_small_baseline.csv,Useful for checking whether retrieval changes convergence or only the final optimum.
byt5_small_cw4_retrieval_augmented,core,retrieval_full_vs_baseline,Full Retrieval vs Baseline Loss Curves,2,ByT5-small + retrieval,coursework/configs/byt5_small_cw4_retrieval_augmented.yaml,coursework/results/loss_histories/byt5_small_cw4_retrieval_augmented.csv,Useful for checking whether retrieval changes convergence or only the final optimum.
byt5_base_baseline,core,retrieval_full_vs_baseline,Full Retrieval vs Baseline Loss Curves,3,ByT5-base baseline,coursework/configs/byt5_base_baseline.yaml,coursework/results/loss_histories/byt5_base_baseline.csv,Useful for checking whether retrieval changes convergence or only the final optimum.
byt5_base_cw4_retrieval_augmented,core,retrieval_full_vs_baseline,Full Retrieval vs Baseline Loss Curves,4,ByT5-base + retrieval,coursework/configs/byt5_base_cw4_retrieval_augmented.yaml,coursework/results/loss_histories/byt5_base_cw4_retrieval_augmented.csv,Useful for checking whether retrieval changes convergence or only the final optimum.
byt5_base_baseline,core,external_mix_seed_sensitivity,External Mix Seed Sensitivity Loss Curves,1,Baseline seed 42,coursework/configs/byt5_base_baseline.yaml,coursework/results/loss_histories/byt5_base_baseline.csv,Shows whether the unstable external-data result is visible during optimization.
byt5_base_seed52,core,external_mix_seed_sensitivity,External Mix Seed Sensitivity Loss Curves,2,Baseline seed 52,coursework/configs/byt5_base_seed52.yaml,coursework/results/loss_histories/byt5_base_seed52.csv,Shows whether the unstable external-data result is visible during optimization.
byt5_base_seed62,core,external_mix_seed_sensitivity,External Mix Seed Sensitivity Loss Curves,3,Baseline seed 62,coursework/configs/byt5_base_seed62.yaml,coursework/results/loss_histories/byt5_base_seed62.csv,Shows whether the unstable external-data result is visible during optimization.
byt5_base_external_mix,core,external_mix_seed_sensitivity,External Mix Seed Sensitivity Loss Curves,4,External mix seed 42,coursework/configs/byt5_base_external_mix.yaml,coursework/results/loss_histories/byt5_base_external_mix.csv,Shows whether the unstable external-data result is visible during optimization.
byt5_base_external_mix_seed52,core,external_mix_seed_sensitivity,External Mix Seed Sensitivity Loss Curves,5,External mix seed 52,coursework/configs/byt5_base_external_mix_seed52.yaml,coursework/results/loss_histories/byt5_base_external_mix_seed52.csv,Shows whether the unstable external-data result is visible during optimization.
byt5_base_external_mix_seed62,core,external_mix_seed_sensitivity,External Mix Seed Sensitivity Loss Curves,6,External mix seed 62,coursework/configs/byt5_base_external_mix_seed62.yaml,coursework/results/loss_histories/byt5_base_external_mix_seed62.csv,Shows whether the unstable external-data result is visible during optimization.
byt5_small_baseline,optional,dictionary_gloss_vs_baseline,Dictionary Gloss vs Baseline Loss Curves,1,ByT5-small baseline,coursework/configs/byt5_small_baseline.yaml,coursework/results/loss_histories/byt5_small_baseline.csv,Representative philological intervention with a clear small-help and base-hurt split.
byt5_small_rq3_dictionary_gloss,optional,dictionary_gloss_vs_baseline,Dictionary Gloss vs Baseline Loss Curves,2,ByT5-small + dictionary gloss,coursework/configs/byt5_small_rq3_dictionary_gloss.yaml,coursework/results/loss_histories/byt5_small_rq3_dictionary_gloss.csv,Representative philological intervention with a clear small-help and base-hurt split.
byt5_base_baseline,optional,dictionary_gloss_vs_baseline,Dictionary Gloss vs Baseline Loss Curves,3,ByT5-base baseline,coursework/configs/byt5_base_baseline.yaml,coursework/results/loss_histories/byt5_base_baseline.csv,Representative philological intervention with a clear small-help and base-hurt split.
byt5_base_rq3_dictionary_gloss,optional,dictionary_gloss_vs_baseline,Dictionary Gloss vs Baseline Loss Curves,4,ByT5-base + dictionary gloss,coursework/configs/byt5_base_rq3_dictionary_gloss.yaml,coursework/results/loss_histories/byt5_base_rq3_dictionary_gloss.csv,Representative philological intervention with a clear small-help and base-hurt split.
byt5_base_baseline,optional,retrieval_repairs_vs_baseline,Retrieval Repair Loss Curves,1,ByT5-base baseline,coursework/configs/byt5_base_baseline.yaml,coursework/results/loss_histories/byt5_base_baseline.csv,Useful only if you want to show that the repaired retrieval formats still converge worse.
byt5_base_cw4_retrieval_augmented,optional,retrieval_repairs_vs_baseline,Retrieval Repair Loss Curves,2,ByT5-base + retrieval,coursework/configs/byt5_base_cw4_retrieval_augmented.yaml,coursework/results/loss_histories/byt5_base_cw4_retrieval_augmented.csv,Useful only if you want to show that the repaired retrieval formats still converge worse.
byt5_base_cw4_retrieval_compact,optional,retrieval_repairs_vs_baseline,Retrieval Repair Loss Curves,3,ByT5-base + retrieval compact,coursework/configs/byt5_base_cw4_retrieval_compact.yaml,coursework/results/loss_histories/byt5_base_cw4_retrieval_compact.csv,Useful only if you want to show that the repaired retrieval formats still converge worse.
byt5_base_cw4_retrieval_source_only,optional,retrieval_repairs_vs_baseline,Retrieval Repair Loss Curves,4,ByT5-base + retrieval source-only,coursework/configs/byt5_base_cw4_retrieval_source_only.yaml,coursework/results/loss_histories/byt5_base_cw4_retrieval_source_only.csv,Useful only if you want to show that the repaired retrieval formats still converge worse.
