step,epoch,metric,value
1,1,train/loss,4.923171043395996
1,1,train/lr,3.5e-07
2,1,train/loss,4.73146390914917
2,1,train/lr,7e-07
3,1,train/loss,5.0980634689331055
3,1,train/lr,1.05e-06
4,1,train/loss,4.535973072052002
4,1,train/lr,1.4e-06
5,1,train/loss,4.774635314941406
5,1,train/lr,1.75e-06
6,1,train/loss,4.551148414611816
6,1,train/lr,2.1e-06
7,1,train/loss,4.391434669494629
7,1,train/lr,2.45e-06
8,1,train/loss,4.613199234008789
8,1,train/lr,2.8e-06
9,1,train/loss,4.745093822479248
9,1,train/lr,3.1499999999999995e-06
10,1,train/loss,4.543447971343994
10,1,train/lr,3.5e-06
11,1,train/loss,4.330484867095947
11,1,train/lr,3.8499999999999996e-06
12,1,train/loss,4.433046817779541
12,1,train/lr,4.2e-06
13,1,train/loss,5.583451747894287
13,1,train/lr,4.55e-06
14,1,train/loss,4.548603057861328
14,1,train/lr,4.9e-06
15,1,train/loss,4.711618423461914
15,1,train/lr,5.25e-06
16,1,train/loss,4.634133815765381
16,1,train/lr,5.6e-06
17,1,train/loss,4.277886867523193
17,1,train/lr,5.95e-06
18,1,train/loss,4.686159133911133
18,1,train/lr,6.299999999999999e-06
19,1,train/loss,4.50651741027832
19,1,train/lr,6.65e-06
20,1,train/loss,4.685577392578125
20,1,train/lr,7e-06
21,1,train/loss,4.597835063934326
21,1,train/lr,7.349999999999999e-06
22,1,train/loss,4.2333831787109375
22,1,train/lr,7.699999999999999e-06
23,1,train/loss,4.338566780090332
23,1,train/lr,8.05e-06
24,1,train/loss,5.708921909332275
24,1,train/lr,8.4e-06
25,1,train/loss,5.539407253265381
25,1,train/lr,8.75e-06
26,1,train/loss,4.842509746551514
26,1,train/lr,9.1e-06
27,1,train/loss,4.5852813720703125
27,1,train/lr,9.45e-06
28,1,train/loss,4.4258341789245605
28,1,train/lr,9.8e-06
29,1,train/loss,4.179239749908447
29,1,train/lr,1.0149999999999998e-05
30,1,train/loss,4.245567321777344
30,1,train/lr,1.05e-05
31,1,train/loss,4.264312744140625
31,1,train/lr,1.085e-05
32,1,train/loss,4.290284156799316
32,1,train/lr,1.12e-05
33,1,train/loss,4.18104887008667
33,1,train/lr,1.155e-05
34,1,train/loss,4.306938648223877
34,1,train/lr,1.19e-05
35,1,train/loss,4.232360363006592
35,1,train/lr,1.2249999999999998e-05
36,1,train/loss,4.2219085693359375
36,1,train/lr,1.2599999999999998e-05
37,1,train/loss,4.5859270095825195
37,1,train/lr,1.2949999999999998e-05
38,1,train/loss,4.9414381980896
38,1,train/lr,1.33e-05
39,1,train/loss,4.2216644287109375
39,1,train/lr,1.365e-05
40,1,train/loss,4.582813262939453
40,1,train/lr,1.4e-05
41,1,train/loss,4.153940677642822
41,1,train/lr,1.4349999999999998e-05
42,1,train/loss,4.2794189453125
42,1,train/lr,1.4699999999999998e-05
43,1,train/loss,4.134321212768555
43,1,train/lr,1.5049999999999998e-05
44,1,train/loss,4.09160852432251
44,1,train/lr,1.5399999999999998e-05
45,1,train/loss,3.9399290084838867
45,1,train/lr,1.575e-05
46,1,train/loss,3.863063335418701
46,1,train/lr,1.61e-05
47,1,train/loss,4.136898517608643
47,1,train/lr,1.6449999999999997e-05
48,1,train/loss,3.8624818325042725
48,1,train/lr,1.68e-05
49,1,train/loss,3.939115047454834
