step,epoch,metric,value
1,1,train/loss,4.763283729553223
1,1,train/lr,1.75e-07
2,1,train/loss,4.56717586517334
2,1,train/lr,3.5e-07
3,1,train/loss,4.5748515129089355
3,1,train/lr,5.25e-07
4,1,train/loss,4.489408493041992
4,1,train/lr,7e-07
5,1,train/loss,4.293580532073975
5,1,train/lr,8.75e-07
6,1,train/loss,4.2415266036987305
6,1,train/lr,1.05e-06
7,1,train/loss,4.3406267166137695
7,1,train/lr,1.225e-06
8,1,train/loss,4.2656779289245605
8,1,train/lr,1.4e-06
9,1,train/loss,4.293247699737549
9,1,train/lr,1.5749999999999997e-06
10,1,train/loss,4.2839741706848145
10,1,train/lr,1.75e-06
11,1,train/loss,4.413922309875488
11,1,train/lr,1.9249999999999998e-06
12,1,train/loss,4.906680107116699
12,1,train/lr,2.1e-06
13,1,train/loss,4.63384485244751
13,1,train/lr,2.275e-06
14,1,train/loss,4.621593475341797
14,1,train/lr,2.45e-06
15,1,train/loss,4.638417720794678
15,1,train/lr,2.625e-06
16,1,train/loss,4.524770259857178
16,1,train/lr,2.8e-06
17,1,train/loss,4.64070463180542
17,1,train/lr,2.975e-06
18,1,train/loss,4.282026290893555
18,1,train/lr,3.1499999999999995e-06
19,1,train/loss,4.257429122924805
19,1,train/lr,3.325e-06
20,1,train/loss,4.340309143066406
20,1,train/lr,3.5e-06
21,1,train/loss,4.200336933135986
21,1,train/lr,3.6749999999999995e-06
22,1,train/loss,4.28146505355835
22,1,train/lr,3.8499999999999996e-06
23,1,train/loss,4.586667537689209
23,1,train/lr,4.025e-06
24,1,train/loss,4.4097490310668945
24,1,train/lr,4.2e-06
25,1,train/loss,5.41517972946167
25,1,train/lr,4.375e-06
26,1,train/loss,4.75775146484375
26,1,train/lr,4.55e-06
27,1,train/loss,4.420310020446777
27,1,train/lr,4.725e-06
28,1,train/loss,4.590726375579834
28,1,train/lr,4.9e-06
29,1,train/loss,4.4910173416137695
29,1,train/lr,5.074999999999999e-06
30,1,train/loss,4.450231075286865
30,1,train/lr,5.25e-06
31,1,train/loss,4.186561107635498
31,1,train/lr,5.425e-06
32,1,train/loss,4.000356674194336
32,1,train/lr,5.6e-06
33,1,train/loss,4.382271766662598
33,1,train/lr,5.775e-06
34,1,train/loss,4.244204998016357
34,1,train/lr,5.95e-06
35,1,train/loss,4.08148193359375
35,1,train/lr,6.124999999999999e-06
36,1,train/loss,4.029362678527832
36,1,train/lr,6.299999999999999e-06
37,1,train/loss,4.402349472045898
37,1,train/lr,6.474999999999999e-06
38,1,train/loss,4.629823684692383
38,1,train/lr,6.65e-06
39,1,train/loss,4.281957149505615
39,1,train/lr,6.825e-06
40,1,train/loss,4.558936595916748
40,1,train/lr,7e-06
41,1,train/loss,4.442107677459717
41,1,train/lr,7.174999999999999e-06
42,1,train/loss,4.552036285400391
42,1,train/lr,7.349999999999999e-06
43,1,train/loss,4.119350433349609
43,1,train/lr,7.524999999999999e-06
44,1,train/loss,4.157693386077881
44,1,train/lr,7.699999999999999e-06
45,1,train/loss,4.283598899841309
45,1,train/lr,7.875e-06
46,1,train/loss,4.748013019561768
46,1,train/lr,8.05e-06
47,1,train/loss,4.0989203453063965
47,1,train/lr,8.224999999999998e-06
48,1,train/loss,4.478300094604492
48,1,train/lr,8.4e-06
49,1,train/loss,4.2841362953186035
49,1,train/lr,8.574999999999998e-06
50,1,train/loss,4.561216354370117
50,1,train/lr,8.75e-06
51,1,train/loss,4.535252571105957
51,1,train/lr,8.925e-06
52,1,train/loss,4.339919567108154
52,1,train/lr,9.1e-06
53,1,train/loss,4.143067836761475
53,1,train/lr,9.275e-06
54,1,train/loss,4.494102954864502
54,1,train/lr,9.45e-06
55,1,train/loss,4.197962284088135
55,1,train/lr,9.625e-06
56,1,train/loss,4.2131500244140625
56,1,train/lr,9.8e-06
57,1,train/loss,4.063285827636719
57,1,train/lr,9.974999999999999e-06
58,1,train/loss,3.9677035808563232
58,1,train/lr,1.0149999999999998e-05
59,1,train/loss,4.0798139572143555
59,1,train/lr,1.0324999999999999e-05
60,1,train/loss,4.2064690589904785
60,1,train/lr,1.05e-05
61,1,train/loss,3.8208370208740234
61,1,train/lr,1.0674999999999999e-05
62,1,train/loss,4.421887397766113
62,1,train/lr,1.085e-05
63,1,train/loss,4.15594482421875
63,1,train/lr,1.1024999999999999e-05
64,1,train/loss,4.280369281768799
64,1,train/lr,1.12e-05
65,1,train/loss,4.115070343017578
65,1,train/lr,1.1374999999999999e-05
66,1,train/loss,3.969442367553711
66,1,train/lr,1.155e-05
67,1,train/loss,4.218024253845215
67,1,train/lr,1.1725e-05
68,1,train/loss,4.026540279388428
68,1,train/lr,1.19e-05
69,1,train/loss,4.0791802406311035
69,1,train/lr,1.2074999999999999e-05
70,1,train/loss,3.8352465629577637
70,1,train/lr,1.2249999999999998e-05
71,1,train/loss,3.932138681411743
71,1,train/lr,1.2424999999999999e-05
72,1,train/loss,3.8410513401031494
72,1,train/lr,1.2599999999999998e-05
73,1,train/loss,3.938431739807129
73,1,train/lr,1.2774999999999999e-05
74,1,train/loss,3.8245298862457275
74,1,train/lr,1.2949999999999998e-05
75,1,train/loss,4.157326698303223
75,1,train/lr,1.3124999999999999e-05
76,1,train/loss,4.036731719970703
76,1,train/lr,1.33e-05
77,1,train/loss,4.020726203918457
77,1,train/lr,1.3474999999999999e-05
78,1,train/loss,3.8817241191864014
78,1,train/lr,1.365e-05
79,1,train/loss,3.9301252365112305
79,1,train/lr,1.3824999999999999e-05
80,1,train/loss,3.9999003410339355
80,1,train/lr,1.4e-05
81,1,train/loss,3.710341215133667
81,1,train/lr,1.4174999999999999e-05
82,1,train/loss,3.78206467628479
82,1,train/lr,1.4349999999999998e-05
83,1,train/loss,3.669400930404663
83,1,train/lr,1.4524999999999997e-05
84,1,train/loss,3.556931972503662
84,1,train/lr,1.4699999999999998e-05
85,1,train/loss,3.5957326889038086
85,1,train/lr,1.4874999999999999e-05
86,1,train/loss,3.4926204681396484
86,1,train/lr,1.5049999999999998e-05
87,1,train/loss,3.8144960403442383
87,1,train/lr,1.5224999999999999e-05
88,1,train/loss,4.052374839782715
88,1,train/lr,1.5399999999999998e-05
89,1,train/loss,3.851168155670166
89,1,train/lr,1.5575e-05
90,1,train/loss,3.7831850051879883
90,1,train/lr,1.575e-05
91,1,train/loss,3.8606977462768555
91,1,train/lr,1.5925e-05
92,1,train/loss,3.7173328399658203
92,1,train/lr,1.61e-05
93,1,train/loss,3.518341541290283
93,1,train/lr,1.6275e-05
94,1,train/loss,3.5801615715026855
94,1,train/lr,1.6449999999999997e-05
95,1,train/loss,3.6299939155578613
95,1,train/lr,1.6624999999999998e-05
96,1,train/loss,3.3901758193969727
96,1,train/lr,1.68e-05
97,1,train/loss,3.5450282096862793
97,1,train/lr,1.6975e-05
98,1,train/loss,3.3585727214813232
98,1,train/lr,1.7149999999999997e-05
99,1,train/loss,3.398171901702881
99,1,train/lr,1.7324999999999998e-05
100,1,train/loss,3.9341793060302734
100,1,train/lr,1.75e-05
101,1,train/loss,4.200982093811035
101,1,train/lr,1.7675e-05
102,1,train/loss,3.6914381980895996
102,1,train/lr,1.785e-05
103,1,train/loss,3.39840030670166
103,1,train/lr,1.8024999999999998e-05
