step,epoch,metric,value
1,1,train/loss,4.969283103942871
1,1,train/lr,3.5e-07
2,1,train/loss,4.851001739501953
2,1,train/lr,7e-07
3,1,train/loss,4.558513164520264
3,1,train/lr,1.05e-06
4,1,train/loss,4.901818752288818
4,1,train/lr,1.4e-06
5,1,train/loss,4.579485893249512
5,1,train/lr,1.75e-06
6,1,train/loss,4.300031661987305
6,1,train/lr,2.1e-06
7,1,train/loss,4.547458648681641
7,1,train/lr,2.45e-06
8,1,train/loss,4.391529083251953
8,1,train/lr,2.8e-06
9,1,train/loss,4.509692192077637
9,1,train/lr,3.1499999999999995e-06
10,1,train/loss,5.197754859924316
10,1,train/lr,3.5e-06
11,1,train/loss,4.361296653747559
11,1,train/lr,3.8499999999999996e-06
12,1,train/loss,4.799299240112305
12,1,train/lr,4.2e-06
13,1,train/loss,5.538451194763184
13,1,train/lr,4.55e-06
14,1,train/loss,5.05394172668457
14,1,train/lr,4.9e-06
15,1,train/loss,4.680642604827881
15,1,train/lr,5.25e-06
16,1,train/loss,5.024679660797119
16,1,train/lr,5.6e-06
17,1,train/loss,5.3326311111450195
17,1,train/lr,5.95e-06
18,1,train/loss,4.4833855628967285
18,1,train/lr,6.299999999999999e-06
19,1,train/loss,4.406072616577148
19,1,train/lr,6.65e-06
20,1,train/loss,4.251119136810303
20,1,train/lr,7e-06
21,1,train/loss,4.657993793487549
21,1,train/lr,7.349999999999999e-06
22,1,train/loss,4.292479515075684
22,1,train/lr,7.699999999999999e-06
23,1,train/loss,4.533742904663086
23,1,train/lr,8.05e-06
24,1,train/loss,5.0362868309021
24,1,train/lr,8.4e-06
25,1,train/loss,5.660588264465332
25,1,train/lr,8.75e-06
26,1,train/loss,5.059201240539551
26,1,train/lr,9.1e-06
27,1,train/loss,5.140904903411865
27,1,train/lr,9.45e-06
28,1,train/loss,4.621492862701416
28,1,train/lr,9.8e-06
29,1,train/loss,4.5926923751831055
29,1,train/lr,1.0149999999999998e-05
30,1,train/loss,4.314667701721191
30,1,train/lr,1.05e-05
31,1,train/loss,4.1680192947387695
31,1,train/lr,1.085e-05
32,1,train/loss,4.163742542266846
32,1,train/lr,1.12e-05
33,1,train/loss,4.255199909210205
33,1,train/lr,1.155e-05
34,1,train/loss,4.197836875915527
34,1,train/lr,1.19e-05
35,1,train/loss,4.077333450317383
35,1,train/lr,1.2249999999999998e-05
36,1,train/loss,4.647994041442871
36,1,train/lr,1.2599999999999998e-05
37,1,train/loss,4.662106037139893
37,1,train/lr,1.2949999999999998e-05
38,1,train/loss,4.638914108276367
38,1,train/lr,1.33e-05
39,1,train/loss,4.487358093261719
39,1,train/lr,1.365e-05
40,1,train/loss,4.572737693786621
40,1,train/lr,1.4e-05
41,1,train/loss,4.31951379776001
41,1,train/lr,1.4349999999999998e-05
42,1,train/loss,4.157501697540283
42,1,train/lr,1.4699999999999998e-05
43,1,train/loss,4.220362186431885
43,1,train/lr,1.5049999999999998e-05
44,1,train/loss,4.160320281982422
44,1,train/lr,1.5399999999999998e-05
45,1,train/loss,4.017996788024902
45,1,train/lr,1.575e-05
46,1,train/loss,3.890594482421875
46,1,train/lr,1.61e-05
47,1,train/loss,3.802762508392334
47,1,train/lr,1.6449999999999997e-05
48,1,train/loss,4.09422492980957
48,1,train/lr,1.68e-05
49,1,train/loss,3.9436004161834717
49,1,train/lr,1.7149999999999997e-05
50,1,train/loss,4.157884120941162
50,1,train/lr,1.75e-05
51,1,train/loss,4.538431167602539
51,1,train/lr,1.785e-05
52,1,train/loss,4.265890598297119
52,1,train/lr,1.82e-05
53,1,train/loss,4.196202278137207
53,1,train/lr,1.855e-05
54,1,train/loss,4.086198329925537
54,1,train/lr,1.89e-05
55,1,train/loss,3.7262015342712402
55,1,train/lr,1.925e-05
56,1,train/loss,3.895495891571045
56,1,train/lr,1.96e-05
57,1,train/loss,3.919623613357544
57,1,train/lr,1.9949999999999997e-05
58,1,train/loss,3.7075114250183105
58,1,train/lr,2.0299999999999995e-05
59,1,train/loss,3.672585964202881
59,1,train/lr,2.0649999999999997e-05
60,1,train/loss,3.597843647003174
60,1,train/lr,2.1e-05
61,1,train/loss,3.553635597229004
61,1,train/lr,2.1349999999999997e-05
62,1,train/loss,3.6463241577148438
62,1,train/lr,2.17e-05
63,1,train/loss,4.515561103820801
63,1,train/lr,2.2049999999999997e-05
64,1,train/loss,3.999382734298706
64,1,train/lr,2.24e-05
65,1,train/loss,3.8417553901672363
65,1,train/lr,2.2749999999999997e-05
66,1,train/loss,3.785276412963867
66,1,train/lr,2.31e-05
67,1,train/loss,3.7650647163391113
67,1,train/lr,2.345e-05
68,1,train/loss,3.6952266693115234
68,1,train/lr,2.38e-05
69,1,train/loss,3.5931556224823
69,1,train/lr,2.4149999999999997e-05
70,1,train/loss,3.5359046459198
70,1,train/lr,2.4499999999999996e-05
71,1,train/loss,3.6427297592163086
71,1,train/lr,2.4849999999999998e-05
72,1,train/loss,3.5214314460754395
72,1,train/lr,2.5199999999999996e-05
73,1,train/loss,3.2921500205993652
73,1,train/lr,2.5549999999999998e-05
74,1,train/loss,3.269313335418701
74,1,train/lr,2.5899999999999996e-05
75,1,train/loss,3.317859649658203
75,1,train/lr,2.6249999999999998e-05
76,1,train/loss,3.7182350158691406
76,1,train/lr,2.66e-05
77,1,train/loss,3.611330032348633
77,1,train/lr,2.6949999999999998e-05
78,1,train/loss,3.5133752822875977
78,1,train/lr,2.73e-05
79,1,train/loss,3.512476921081543
79,1,train/lr,2.7649999999999998e-05
80,1,train/loss,3.3480114936828613
80,1,train/lr,2.8e-05
81,1,train/loss,3.424837827682495
81,1,train/lr,2.8349999999999998e-05
82,1,train/loss,3.2788026332855225
82,1,train/lr,2.8699999999999996e-05
83,1,train/loss,3.2413957118988037
83,1,train/lr,2.9049999999999995e-05
84,1,train/loss,3.180250883102417
84,1,train/lr,2.9399999999999996e-05
85,1,train/loss,3.151747226715088
