step,epoch,metric,value
1,1,train/loss,5.977160453796387
1,1,train/lr,5.000000000000001e-07
2,1,train/loss,5.758087158203125
2,1,train/lr,1.0000000000000002e-06
3,1,train/loss,5.748373508453369
3,1,train/lr,1.5e-06
4,1,train/loss,5.438961505889893
4,1,train/lr,2.0000000000000003e-06
5,1,train/loss,5.802743434906006
5,1,train/lr,2.5e-06
6,1,train/loss,5.352210521697998
6,1,train/lr,3e-06
7,1,train/loss,5.382045745849609
7,1,train/lr,3.5000000000000004e-06
8,1,train/loss,5.745122909545898
8,1,train/lr,4.000000000000001e-06
9,1,train/loss,5.512596130371094
9,1,train/lr,4.5e-06
10,1,train/loss,5.559446811676025
10,1,train/lr,5e-06
11,1,train/loss,5.321115970611572
11,1,train/lr,5.500000000000001e-06
12,1,train/loss,5.301433086395264
12,1,train/lr,6e-06
13,1,train/loss,5.409433364868164
13,1,train/lr,6.5000000000000004e-06
14,1,train/loss,5.608080863952637
14,1,train/lr,7.000000000000001e-06
15,1,train/loss,4.928355693817139
15,1,train/lr,7.5e-06
16,1,train/loss,5.385751724243164
16,1,train/lr,8.000000000000001e-06
17,1,train/loss,5.072432518005371
17,1,train/lr,8.500000000000002e-06
18,1,train/loss,5.189701080322266
18,1,train/lr,9e-06
19,1,train/loss,5.139631271362305
19,1,train/lr,9.5e-06
20,1,train/loss,4.943058013916016
20,1,train/lr,1e-05
21,1,train/loss,4.78834342956543
21,1,train/lr,1.05e-05
22,1,train/loss,4.914202690124512
22,1,train/lr,1.1000000000000001e-05
23,1,train/loss,5.146197319030762
23,1,train/lr,1.1500000000000002e-05
24,1,train/loss,6.905385971069336
24,1,train/lr,1.2e-05
25,1,train/loss,10.108892440795898
25,1,train/lr,1.25e-05
26,1,train/loss,6.137825012207031
26,1,train/lr,1.3000000000000001e-05
27,1,train/loss,5.4520649909973145
27,1,train/lr,1.3500000000000001e-05
28,1,train/loss,5.717467308044434
28,1,train/lr,1.4000000000000001e-05
29,1,train/loss,5.911194801330566
29,1,train/lr,1.45e-05
30,1,train/loss,5.609457015991211
30,1,train/lr,1.5e-05
31,1,train/loss,5.477776527404785
31,1,train/lr,1.55e-05
32,1,train/loss,5.506145477294922
32,1,train/lr,1.6000000000000003e-05
33,1,train/loss,5.350712776184082
33,1,train/lr,1.65e-05
34,1,train/loss,5.154274940490723
34,1,train/lr,1.7000000000000003e-05
35,1,train/loss,5.207082748413086
35,1,train/lr,1.75e-05
36,1,train/loss,5.293529987335205
36,1,train/lr,1.8e-05
37,1,train/loss,5.058548927307129
37,1,train/lr,1.85e-05
38,1,train/loss,5.037928581237793
38,1,train/lr,1.9e-05
39,1,train/loss,4.9154276847839355
39,1,train/lr,1.9500000000000003e-05
40,1,train/loss,4.869934558868408
40,1,train/lr,2e-05
41,1,train/loss,4.901477336883545
41,1,train/lr,2.05e-05
42,1,train/loss,4.923504829406738
42,1,train/lr,2.1e-05
43,1,train/loss,4.6156005859375
43,1,train/lr,2.15e-05
44,1,train/loss,5.2297163009643555
44,1,train/lr,2.2000000000000003e-05
45,1,train/loss,4.568393707275391
45,1,train/lr,2.25e-05
46,1,train/loss,4.531696796417236
46,1,train/lr,2.3000000000000003e-05
47,1,train/loss,5.262462139129639
47,1,train/lr,2.35e-05
48,1,train/loss,4.501297950744629
48,1,train/lr,2.4e-05
49,1,train/loss,5.598813056945801
49,1,train/lr,2.45e-05
50,1,train/loss,6.291223526000977
50,1,train/lr,2.5e-05
51,1,train/loss,5.9307026863098145
51,1,train/lr,2.5500000000000003e-05
52,1,train/loss,5.3519182205200195
52,1,train/lr,2.6000000000000002e-05
53,1,train/loss,5.5306854248046875
53,1,train/lr,2.6500000000000004e-05
54,1,train/loss,5.341827392578125
54,1,train/lr,2.7000000000000002e-05
55,1,train/loss,4.791159629821777
55,1,train/lr,2.7500000000000004e-05
56,1,train/loss,5.101650238037109
56,1,train/lr,2.8000000000000003e-05
57,1,train/loss,4.787638187408447
57,1,train/lr,2.8499999999999998e-05
58,1,train/loss,4.81613302230835
58,1,train/lr,2.9e-05
59,1,train/loss,4.491235256195068
59,1,train/lr,2.95e-05
60,1,train/loss,4.643757343292236
60,1,train/lr,3e-05
61,1,train/loss,4.519904136657715
61,1,train/lr,3.05e-05
62,1,train/loss,4.528255939483643
62,1,train/lr,3.1e-05
63,1,train/loss,4.4186506271362305
63,1,train/lr,3.15e-05
64,1,train/loss,4.205018997192383
64,1,train/lr,3.2000000000000005e-05
65,1,train/loss,4.333672523498535
65,1,train/lr,3.2500000000000004e-05
66,1,train/loss,4.2478437423706055
66,1,train/lr,3.3e-05
67,1,train/loss,4.305521011352539
67,1,train/lr,3.35e-05
68,1,train/loss,4.13088846206665
68,1,train/lr,3.4000000000000007e-05
69,1,train/loss,4.02987813949585
69,1,train/lr,3.45e-05
70,1,train/loss,4.056697368621826
70,1,train/lr,3.5e-05
71,1,train/loss,4.02821159362793
71,1,train/lr,3.55e-05
72,1,train/loss,3.8450238704681396
72,1,train/lr,3.6e-05
73,1,train/loss,3.8225388526916504
73,1,train/lr,3.65e-05
74,1,train/loss,3.7571120262145996
74,1,train/lr,3.7e-05
75,1,train/loss,3.813404083251953
75,1,train/lr,3.7500000000000003e-05
76,1,train/loss,4.640957355499268
76,1,train/lr,3.8e-05
77,1,train/loss,4.21412467956543
77,1,train/lr,3.85e-05
78,1,train/loss,4.178272724151611
78,1,train/lr,3.9000000000000006e-05
79,1,train/loss,4.146583080291748
79,1,train/lr,3.9500000000000005e-05
80,1,train/loss,4.025574207305908
80,1,train/lr,4e-05
81,1,train/loss,3.982919692993164
81,1,train/lr,4.05e-05
82,1,train/loss,4.01053524017334
82,1,train/lr,4.1e-05
83,1,train/loss,3.823202133178711
83,1,train/lr,4.15e-05
84,1,train/loss,3.940603256225586
84,1,train/lr,4.2e-05
85,1,train/loss,3.7882590293884277
85,1,train/lr,4.25e-05
86,1,train/loss,3.8708391189575195
86,1,train/lr,4.3e-05
87,1,train/loss,3.740887403488159
87,1,train/lr,4.35e-05
88,1,train/loss,3.608583450317383
88,1,train/lr,4.4000000000000006e-05
89,1,train/loss,3.641711473464966
89,1,train/lr,4.4500000000000004e-05
90,1,train/loss,3.5677950382232666
90,1,train/lr,4.5e-05
91,1,train/loss,3.656343460083008
91,1,train/lr,4.55e-05
92,1,train/loss,3.542487144470215
92,1,train/lr,4.600000000000001e-05
93,1,train/loss,3.474663734436035
93,1,train/lr,4.6500000000000005e-05
94,1,train/loss,3.4476490020751953
94,1,train/lr,4.7e-05
95,1,train/loss,3.4395368099212646
95,1,train/lr,4.75e-05
96,1,train/loss,3.461160659790039
96,1,train/lr,4.8e-05
97,1,train/loss,3.3872265815734863
97,1,train/lr,4.85e-05
98,1,train/loss,3.2873666286468506
98,1,train/lr,4.9e-05
99,1,train/loss,3.233912229537964
99,1,train/lr,4.9500000000000004e-05
100,1,train/loss,3.110668420791626
100,1,train/lr,5e-05
101,1,train/loss,3.875363349914551
101,1,train/lr,5.05e-05
102,1,train/loss,3.7545859813690186
102,1,train/lr,5.1000000000000006e-05
103,1,train/loss,3.5432281494140625
103,1,train/lr,5.1500000000000005e-05
104,1,train/loss,3.536778450012207
104,1,train/lr,5.2000000000000004e-05
105,1,train/loss,3.520153522491455
105,1,train/lr,5.25e-05
106,1,train/loss,3.43928861618042
106,1,train/lr,5.300000000000001e-05
107,1,train/loss,3.274033546447754
107,1,train/lr,5.3500000000000006e-05
108,1,train/loss,3.2637734413146973
108,1,train/lr,5.4000000000000005e-05
109,1,train/loss,3.353257656097412
109,1,train/lr,5.45e-05
