step,epoch,metric,value
1,1,train/loss,5.938438892364502
1,1,train/lr,5.000000000000001e-07
2,1,train/loss,5.6897292137146
2,1,train/lr,1.0000000000000002e-06
3,1,train/loss,5.72280216217041
3,1,train/lr,1.5e-06
4,1,train/loss,5.5618720054626465
4,1,train/lr,2.0000000000000003e-06
5,1,train/loss,5.612903594970703
5,1,train/lr,2.5e-06
6,1,train/loss,5.764545440673828
6,1,train/lr,3e-06
7,1,train/loss,5.411426544189453
7,1,train/lr,3.5000000000000004e-06
8,1,train/loss,5.2905731201171875
8,1,train/lr,4.000000000000001e-06
9,1,train/loss,5.405972957611084
9,1,train/lr,4.5e-06
10,1,train/loss,5.2710161209106445
10,1,train/lr,5e-06
11,1,train/loss,5.19543981552124
11,1,train/lr,5.500000000000001e-06
12,1,train/loss,5.226687431335449
12,1,train/lr,6e-06
13,1,train/loss,5.164306640625
13,1,train/lr,6.5000000000000004e-06
14,1,train/loss,5.038000106811523
14,1,train/lr,7.000000000000001e-06
15,1,train/loss,4.989955902099609
15,1,train/lr,7.5e-06
16,1,train/loss,4.969326496124268
16,1,train/lr,8.000000000000001e-06
17,1,train/loss,4.991133689880371
17,1,train/lr,8.500000000000002e-06
18,1,train/loss,4.937672138214111
18,1,train/lr,9e-06
19,1,train/loss,5.479202747344971
19,1,train/lr,9.5e-06
20,1,train/loss,5.084673881530762
20,1,train/lr,1e-05
21,1,train/loss,4.754541397094727
21,1,train/lr,1.05e-05
22,1,train/loss,4.911583423614502
22,1,train/lr,1.1000000000000001e-05
23,1,train/loss,5.423402786254883
23,1,train/lr,1.1500000000000002e-05
24,1,train/loss,6.465858459472656
24,1,train/lr,1.2e-05
25,1,train/loss,10.415392875671387
25,1,train/lr,1.25e-05
26,1,train/loss,6.039064884185791
26,1,train/lr,1.3000000000000001e-05
27,1,train/loss,5.747474670410156
27,1,train/lr,1.3500000000000001e-05
28,1,train/loss,5.558941841125488
28,1,train/lr,1.4000000000000001e-05
29,1,train/loss,5.4380364418029785
29,1,train/lr,1.45e-05
30,1,train/loss,5.4336957931518555
30,1,train/lr,1.5e-05
31,1,train/loss,5.144967555999756
