step,epoch,metric,value
1,1,train/loss,27.188404083251953
1,1,train/lr,2.5000000000000004e-07
2,1,train/loss,24.06069564819336
2,1,train/lr,5.000000000000001e-07
3,1,train/loss,25.039026260375977
3,1,train/lr,7.5e-07
4,1,train/loss,29.185699462890625
4,1,train/lr,1.0000000000000002e-06
5,1,train/loss,30.444671630859375
5,1,train/lr,1.25e-06
6,1,train/loss,25.82393455505371
6,1,train/lr,1.5e-06
7,1,train/loss,28.199329376220703
7,1,train/lr,1.7500000000000002e-06
8,1,train/loss,33.24335861206055
8,1,train/lr,2.0000000000000003e-06
9,1,train/loss,29.006847381591797
9,1,train/lr,2.25e-06
10,1,train/loss,33.892913818359375
10,1,train/lr,2.5e-06
11,1,train/loss,33.0067024230957
11,1,train/lr,2.7500000000000004e-06
12,1,train/loss,30.109865188598633
12,1,train/lr,3e-06
13,1,train/loss,29.15056610107422
13,1,train/lr,3.2500000000000002e-06
14,1,train/loss,30.783262252807617
14,1,train/lr,3.5000000000000004e-06
15,1,train/loss,25.11206817626953
15,1,train/lr,3.75e-06
16,1,train/loss,26.092966079711914
16,1,train/lr,4.000000000000001e-06
17,1,train/loss,25.88120460510254
17,1,train/lr,4.250000000000001e-06
18,1,train/loss,28.3904972076416
18,1,train/lr,4.5e-06
19,1,train/loss,28.174976348876953
19,1,train/lr,4.75e-06
20,1,train/loss,31.112825393676758
20,1,train/lr,5e-06
21,1,train/loss,27.49628257751465
21,1,train/lr,5.25e-06
22,1,train/loss,31.123096466064453
22,1,train/lr,5.500000000000001e-06
23,1,train/loss,26.914398193359375
23,1,train/lr,5.750000000000001e-06
24,1,train/loss,27.261062622070312
24,1,train/lr,6e-06
25,1,train/loss,26.194622039794922
25,1,train/lr,6.25e-06
26,1,train/loss,33.86921691894531
26,1,train/lr,6.5000000000000004e-06
27,1,train/loss,30.00819969177246
27,1,train/lr,6.750000000000001e-06
28,1,train/loss,30.046871185302734
28,1,train/lr,7.000000000000001e-06
29,1,train/loss,31.542835235595703
29,1,train/lr,7.25e-06
30,1,train/loss,30.957653045654297
30,1,train/lr,7.5e-06
31,1,train/loss,23.64324951171875
31,1,train/lr,7.75e-06
32,1,train/loss,30.240983963012695
32,1,train/lr,8.000000000000001e-06
33,1,train/loss,34.46467971801758
33,1,train/lr,8.25e-06
34,1,train/loss,23.227249145507812
34,1,train/lr,8.500000000000002e-06
35,1,train/loss,27.965721130371094
35,1,train/lr,8.75e-06
36,1,train/loss,26.507362365722656
36,1,train/lr,9e-06
37,1,train/loss,24.6641902923584
37,1,train/lr,9.25e-06
38,1,train/loss,24.391151428222656
38,1,train/lr,9.5e-06
39,1,train/loss,27.658748626708984
39,1,train/lr,9.750000000000002e-06
40,1,train/loss,26.599273681640625
40,1,train/lr,1e-05
41,1,train/loss,28.995601654052734
41,1,train/lr,1.025e-05
42,1,train/loss,25.936969757080078
42,1,train/lr,1.05e-05
43,1,train/loss,25.81365203857422
43,1,train/lr,1.075e-05
44,1,train/loss,26.54859733581543
44,1,train/lr,1.1000000000000001e-05
45,1,train/loss,28.991790771484375
45,1,train/lr,1.125e-05
46,1,train/loss,28.500572204589844
46,1,train/lr,1.1500000000000002e-05
47,1,train/loss,25.948932647705078
47,1,train/lr,1.175e-05
48,1,train/loss,23.7385311126709
48,1,train/lr,1.2e-05
49,1,train/loss,25.55967140197754
49,1,train/lr,1.225e-05
50,1,train/loss,27.066650390625
50,1,train/lr,1.25e-05
51,1,train/loss,28.07898712158203
51,1,train/lr,1.2750000000000002e-05
52,1,train/loss,27.599132537841797
52,1,train/lr,1.3000000000000001e-05
53,1,train/loss,25.368593215942383
53,1,train/lr,1.3250000000000002e-05
54,1,train/loss,30.497554779052734
54,1,train/lr,1.3500000000000001e-05
55,1,train/loss,25.58934211730957
55,1,train/lr,1.3750000000000002e-05
56,1,train/loss,29.028770446777344
56,1,train/lr,1.4000000000000001e-05
57,1,train/loss,29.195472717285156
57,1,train/lr,1.4249999999999999e-05
58,1,train/loss,28.19475746154785
58,1,train/lr,1.45e-05
59,1,train/loss,27.509126663208008
59,1,train/lr,1.475e-05
60,1,train/loss,28.759124755859375
60,1,train/lr,1.5e-05
61,1,train/loss,23.760753631591797
61,1,train/lr,1.525e-05
62,1,train/loss,27.462535858154297
62,1,train/lr,1.55e-05
63,1,train/loss,29.35372543334961
63,1,train/lr,1.575e-05
64,1,train/loss,27.242502212524414
64,1,train/lr,1.6000000000000003e-05
65,1,train/loss,26.75263214111328
65,1,train/lr,1.6250000000000002e-05
66,1,train/loss,23.185016632080078
66,1,train/lr,1.65e-05
67,1,train/loss,24.456340789794922
67,1,train/lr,1.675e-05
68,1,train/loss,27.599403381347656
68,1,train/lr,1.7000000000000003e-05
69,1,train/loss,26.993227005004883
69,1,train/lr,1.725e-05
70,1,train/loss,25.557058334350586
70,1,train/lr,1.75e-05
71,1,train/loss,24.043521881103516
71,1,train/lr,1.775e-05
72,1,train/loss,23.7322940826416
72,1,train/lr,1.8e-05
73,1,train/loss,24.809280395507812
73,1,train/lr,1.825e-05
74,1,train/loss,22.85230255126953
74,1,train/lr,1.85e-05
75,1,train/loss,29.74679183959961
75,1,train/lr,1.8750000000000002e-05
76,1,train/loss,26.783090591430664
76,1,train/lr,1.9e-05
77,1,train/loss,26.294189453125
77,1,train/lr,1.925e-05
78,1,train/loss,26.427692413330078
78,1,train/lr,1.9500000000000003e-05
79,1,train/loss,24.34955596923828
79,1,train/lr,1.9750000000000002e-05
80,1,train/loss,23.12330436706543
80,1,train/lr,2e-05
81,1,train/loss,21.75288200378418
81,1,train/lr,2.025e-05
82,1,train/loss,20.379030227661133
82,1,train/lr,2.05e-05
83,1,train/loss,25.703289031982422
83,1,train/lr,2.075e-05
84,1,train/loss,26.445838928222656
84,1,train/lr,2.1e-05
85,1,train/loss,23.275606155395508
85,1,train/lr,2.125e-05
86,1,train/loss,21.33332633972168
86,1,train/lr,2.15e-05
87,1,train/loss,21.017518997192383
87,1,train/lr,2.175e-05
88,1,train/loss,22.803503036499023
88,1,train/lr,2.2000000000000003e-05
89,1,train/loss,25.78668212890625
89,1,train/lr,2.2250000000000002e-05
90,1,train/loss,21.421733856201172
90,1,train/lr,2.25e-05
91,1,train/loss,23.967267990112305
91,1,train/lr,2.275e-05
92,1,train/loss,21.397356033325195
92,1,train/lr,2.3000000000000003e-05
93,1,train/loss,23.336027145385742
93,1,train/lr,2.3250000000000003e-05
94,1,train/loss,20.216808319091797
94,1,train/lr,2.35e-05
95,1,train/loss,24.778179168701172
95,1,train/lr,2.375e-05
96,1,train/loss,22.64563751220703
96,1,train/lr,2.4e-05
97,1,train/loss,22.985671997070312
97,1,train/lr,2.425e-05
98,1,train/loss,19.381832122802734
98,1,train/lr,2.45e-05
99,1,train/loss,23.344459533691406
99,1,train/lr,2.4750000000000002e-05
100,1,train/loss,19.081851959228516
100,1,train/lr,2.5e-05
101,1,train/loss,27.545425415039062
101,1,train/lr,2.525e-05
102,1,train/loss,24.266632080078125
102,1,train/lr,2.5500000000000003e-05
103,1,train/loss,23.811721801757812
103,1,train/lr,2.5750000000000002e-05
104,1,train/loss,20.2214412689209
104,1,train/lr,2.6000000000000002e-05
105,1,train/loss,23.00164222717285
105,1,train/lr,2.625e-05
106,1,train/loss,20.983409881591797
106,1,train/lr,2.6500000000000004e-05
107,1,train/loss,21.658306121826172
107,1,train/lr,2.6750000000000003e-05
108,1,train/loss,19.066434860229492
108,1,train/lr,2.7000000000000002e-05
109,1,train/loss,22.87102508544922
109,1,train/lr,2.725e-05
110,1,train/loss,20.32806396484375
110,1,train/lr,2.7500000000000004e-05
111,1,train/loss,21.077905654907227
111,1,train/lr,2.7750000000000004e-05
112,1,train/loss,21.8162841796875
112,1,train/lr,2.8000000000000003e-05
113,1,train/loss,21.818132400512695
113,1,train/lr,2.825e-05
114,1,train/loss,21.689517974853516
114,1,train/lr,2.8499999999999998e-05
115,1,train/loss,20.37682342529297
115,1,train/lr,2.8749999999999997e-05
116,1,train/loss,20.418209075927734
116,1,train/lr,2.9e-05
117,1,train/loss,20.71324348449707
117,1,train/lr,2.925e-05
118,1,train/loss,18.505859375
118,1,train/lr,2.95e-05
119,1,train/loss,19.226940155029297
119,1,train/lr,2.975e-05
120,1,train/loss,16.64615821838379
120,1,train/lr,3e-05
121,1,train/loss,16.316118240356445
121,1,train/lr,3.025e-05
122,1,train/loss,17.56865119934082
122,1,train/lr,3.05e-05
123,1,train/loss,16.585615158081055
123,1,train/lr,3.075e-05
124,1,train/loss,19.044469833374023
124,1,train/lr,3.1e-05
125,1,train/loss,15.998376846313477
125,1,train/lr,3.125e-05
126,1,train/loss,24.536928176879883
126,1,train/lr,3.15e-05
127,1,train/loss,23.6261043548584
127,1,train/lr,3.175e-05
128,1,train/loss,19.487083435058594
128,1,train/lr,3.2000000000000005e-05
129,1,train/loss,17.060150146484375
129,1,train/lr,3.2250000000000005e-05
130,1,train/loss,18.454444885253906
130,1,train/lr,3.2500000000000004e-05
131,1,train/loss,22.49991226196289
131,1,train/lr,3.275e-05
132,1,train/loss,16.96752166748047
132,1,train/lr,3.3e-05
133,1,train/loss,18.448097229003906
133,1,train/lr,3.325e-05
134,1,train/loss,18.071155548095703
134,1,train/lr,3.35e-05
135,1,train/loss,17.757333755493164
135,1,train/lr,3.375000000000001e-05
136,1,train/loss,18.41497802734375
136,1,train/lr,3.4000000000000007e-05
137,1,train/loss,17.044628143310547
137,1,train/lr,3.4250000000000006e-05
138,1,train/loss,19.441001892089844
138,1,train/lr,3.45e-05
139,1,train/loss,16.008817672729492
139,1,train/lr,3.475e-05
140,1,train/loss,18.409486770629883
140,1,train/lr,3.5e-05
141,1,train/loss,16.781959533691406
141,1,train/lr,3.525e-05
142,1,train/loss,17.524410247802734
142,1,train/lr,3.55e-05
143,1,train/loss,16.771833419799805
143,1,train/lr,3.575e-05
144,1,train/loss,15.958134651184082
144,1,train/lr,3.6e-05
145,1,train/loss,18.296348571777344
145,1,train/lr,3.625e-05
146,1,train/loss,17.085405349731445
146,1,train/lr,3.65e-05
147,1,train/loss,14.658855438232422
147,1,train/lr,3.675e-05
