run_id,model_family,model_size,seed,ablation,config_path,checkpoint_path,summary_path,independent_bleu,independent_chrf,independent_combined,newtest_bleu,newtest_chrf,newtest_combined,status,notes
tfidf_baseline,retrieval,tfidf,42,baseline,,,coursework/results/artifacts/tfidf_baseline/summary.json,12.204350078587414,27.0194903361084,18.15916625307661,11.666193775880451,28.37521778760007,18.194251541158607,complete,
byt5_base_rq1_no_determinatives,seq2seq,byt5-base,42,rq1_no_determinatives,coursework/configs/byt5_base_rq1_no_determinatives.yaml,outputs/coursework/byt5_base_rq1_no_determinatives/best_model.pt,coursework/results/artifacts/byt5_base_rq1_no_determinatives/summary.json,27.27318350862699,48.24734129704765,36.27476523697621,27.604950032971093,50.07910578066297,37.18105986616136,complete,
byt5_small_rq1_no_determinatives,seq2seq,byt5-small,42,rq1_no_determinatives,coursework/configs/byt5_small_rq1_no_determinatives.yaml,outputs/coursework/byt5_small_rq1_no_determinatives/best_model.pt,coursework/results/artifacts/byt5_small_rq1_no_determinatives/summary.json,21.09856083772644,40.647469689240765,29.28486148401744,21.87176831163272,42.648310794270586,30.54167599485646,complete,
byt5_small_rq2_tag_sumerograms,seq2seq,byt5-small,42,rq2_tag_sumerograms,coursework/configs/byt5_small_rq2_tag_sumerograms.yaml,outputs/coursework/byt5_small_rq2_tag_sumerograms/best_model.pt,coursework/results/artifacts/byt5_small_rq2_tag_sumerograms/summary.json,20.7070285709208,39.64259455997677,28.651009374520623,21.11724621840125,41.71834223973722,29.68124837165816,complete,
byt5_base_rq2_tag_sumerograms,seq2seq,byt5-base,42,rq2_tag_sumerograms,coursework/configs/byt5_base_rq2_tag_sumerograms.yaml,outputs/coursework/byt5_base_rq2_tag_sumerograms/best_model.pt,coursework/results/artifacts/byt5_base_rq2_tag_sumerograms/summary.json,26.790767768925765,47.68905746946886,35.74390107114072,26.520621988133776,49.35355986533862,36.17854481536503,complete,
byt5_small_rq4_remove_gaps,seq2seq,byt5-small,42,rq4_remove_gaps,coursework/configs/byt5_small_rq4_remove_gaps.yaml,outputs/coursework/byt5_small_rq4_remove_gaps/best_model.pt,coursework/results/artifacts/byt5_small_rq4_remove_gaps/summary.json,20.6635674976815,39.82122511062591,28.685337245948283,20.925103090874977,41.64392533406238,29.519543199784707,complete,
byt5_base_rq4_remove_gaps,seq2seq,byt5-base,42,rq4_remove_gaps,coursework/configs/byt5_base_rq4_remove_gaps.yaml,outputs/coursework/byt5_base_rq4_remove_gaps/best_model.pt,coursework/results/artifacts/byt5_base_rq4_remove_gaps/summary.json,27.56298469168002,48.54334765768037,36.57867614295992,27.554690142875824,50.20231556275634,37.19286557643312,complete,
byt5_small_cw4_genre_conditioned,seq2seq,byt5-small,42,cw4_genre_conditioned,coursework/configs/byt5_small_cw4_genre_conditioned.yaml,outputs/coursework/byt5_small_cw4_genre_conditioned/best_model.pt,coursework/results/artifacts/byt5_small_cw4_genre_conditioned/summary.json,21.512186074330828,40.52080920323565,29.52441680139444,21.46338061954975,42.35920659832678,30.152475420138074,complete,CW4 genre tag control-token run
byt5_base_cw4_genre_conditioned,seq2seq,byt5-base,42,cw4_genre_conditioned,coursework/configs/byt5_base_cw4_genre_conditioned.yaml,outputs/coursework/byt5_base_cw4_genre_conditioned/best_model.pt,coursework/results/artifacts/byt5_base_cw4_genre_conditioned/summary.json,26.222932896002344,47.14527987788699,35.16088040139325,26.36506804766925,49.05549129437789,35.96319460348482,complete,CW4 genre tag control-token run
byt5_small_cw4_numeral_normalized,seq2seq,byt5-small,42,cw4_numeral_normalized,coursework/configs/byt5_small_cw4_numeral_normalized.yaml,outputs/coursework/byt5_small_cw4_numeral_normalized/best_model.pt,coursework/results/artifacts/byt5_small_cw4_numeral_normalized/summary.json,21.04297507410676,40.47323416075108,29.183510029007323,21.947960629564808,42.507797724041126,30.544385259761885,complete,CW4 numeral annotation run
byt5_base_cw4_numeral_normalized,seq2seq,byt5-base,42,cw4_numeral_normalized,coursework/configs/byt5_base_cw4_numeral_normalized.yaml,outputs/coursework/byt5_base_cw4_numeral_normalized/best_model.pt,coursework/results/artifacts/byt5_base_cw4_numeral_normalized/summary.json,26.948621752687764,47.83571053219152,35.90412886289113,26.747431945958947,49.29108258356003,36.30991430651433,complete,CW4 numeral annotation run
byt5_base_scale_25pct,seq2seq,byt5-base,42,scale_25pct,coursework/configs/byt5_base_scale_25pct.yaml,outputs/coursework/byt5_base_scale_25pct/best_model.pt,coursework/results/artifacts/byt5_base_scale_25pct/summary.json,11.944956120804804,28.591873196908807,18.48049433182702,11.93326567185444,29.559092470942986,18.78128066652205,complete,Data scaling: 25% of gold corpus
byt5_base_scale_50pct,seq2seq,byt5-base,42,scale_50pct,coursework/configs/byt5_base_scale_50pct.yaml,outputs/coursework/byt5_base_scale_50pct/best_model.pt,coursework/results/artifacts/byt5_base_scale_50pct/summary.json,20.16244299934538,39.52735860277761,28.23062370446653,20.14230634098616,41.219707269119255,28.81423209284561,complete,Data scaling: 50% of gold corpus
byt5_base_scale_75pct,seq2seq,byt5-base,42,scale_75pct,coursework/configs/byt5_base_scale_75pct.yaml,outputs/coursework/byt5_base_scale_75pct/best_model.pt,coursework/results/artifacts/byt5_base_scale_75pct/summary.json,25.31523907019228,45.67323779268213,34.00336650732526,24.98383547408045,47.39018208575671,34.40913414076647,complete,Data scaling: 75% of gold corpus
byt5_small_external_mix,seq2seq,byt5-small,42,external_mix,coursework/configs/byt5_small_external_mix.yaml,outputs/coursework/byt5_small_external_mix/best_model.pt,coursework/results/artifacts/byt5_small_external_mix/summary.json,24.01246538034251,45.144406084905455,32.92458789764749,23.55606331690301,47.21770311799538,33.350610254180175,complete,Gold + external alignment data
byt5_small_cw4_retrieval_compact,seq2seq,byt5-small,42,cw4_retrieval_compact,coursework/configs/byt5_small_cw4_retrieval_compact.yaml,outputs/coursework/byt5_small_cw4_retrieval_compact/best_model.pt,coursework/results/artifacts/byt5_small_cw4_retrieval_compact/summary.json,18.54584342407976,37.67585200351781,26.43351002281087,19.627554080079136,40.26157528766134,28.111140964175583,complete,Small-model retrieval repair with compact context
byt5_small_cw4_retrieval_source_only,seq2seq,byt5-small,42,cw4_retrieval_source_only,coursework/configs/byt5_small_cw4_retrieval_source_only.yaml,outputs/coursework/byt5_small_cw4_retrieval_source_only/best_model.pt,coursework/results/artifacts/byt5_small_cw4_retrieval_source_only/summary.json,18.52461243917032,37.1083266954905,26.218645470353334,18.65334253754349,38.883069414632814,26.9313797029084,complete,Small-model retrieval repair without retrieved translation context
mt5_small_baseline,seq2seq,mt5-small,42,baseline,coursework/configs/mt5_small_baseline.yaml,outputs/coursework/mt5_small_baseline/best_model.pt,coursework/results/artifacts/mt5_small_baseline/summary.json,6.933871013465839,19.322816601567023,11.57505585006492,6.641826577210123,18.78682222794209,11.170443821749773,complete,mT5-small rebuilt baseline
mt5_base_baseline,seq2seq,mt5-base,42,baseline,coursework/configs/mt5_base_baseline.yaml,outputs/coursework/mt5_base_baseline/best_model.pt,coursework/results/artifacts/mt5_base_baseline/summary.json,9.523186380386592,24.69187240208881,15.334448244583688,10.020399077869998,25.07009322281424,15.849679460859852,complete,Completes 2x2 tokenisation x capacity factorial
byt5_base_baseline,seq2seq,byt5-base,42,baseline,coursework/configs/byt5_base_baseline.yaml,outputs/coursework/byt5_base_baseline/best_model.pt,coursework/results/artifacts/byt5_base_baseline/summary.json,27.56298469168002,48.54334765768037,36.57867614295992,27.554690142875824,50.20231556275634,37.19286557643312,complete,ByT5-base rebuilt baseline
byt5_small_baseline,seq2seq,byt5-small,42,baseline,coursework/configs/byt5_small_baseline.yaml,outputs/coursework/byt5_small_baseline/best_model.pt,coursework/results/artifacts/byt5_small_baseline/summary.json,20.6635674976815,39.82122511062591,28.685337245948283,20.925103090874977,41.64392533406238,29.519543199784707,complete,ByT5-small rebuilt baseline
byt5_small_cw4_retrieval_augmented,seq2seq,byt5-small,42,cw4_retrieval_augmented,coursework/configs/byt5_small_cw4_retrieval_augmented.yaml,outputs/coursework/byt5_small_cw4_retrieval_augmented/best_model.pt,coursework/results/artifacts/byt5_small_cw4_retrieval_augmented/summary.json,21.85171123204138,41.17804100962042,29.99684418807057,21.49489434745157,42.105299581221736,30.08403174386968,complete,Prepends a retrieved transliteration and translation exemplar
byt5_base_cw4_retrieval_augmented,seq2seq,byt5-base,42,cw4_retrieval_augmented,coursework/configs/byt5_base_cw4_retrieval_augmented.yaml,outputs/coursework/byt5_base_cw4_retrieval_augmented/best_model.pt,coursework/results/artifacts/byt5_base_cw4_retrieval_augmented/summary.json,26.4951025181933,46.97260495094157,35.27809495596086,25.87241474222886,47.87223029721584,35.19332602760162,complete,Prepends a retrieved transliteration and translation exemplar
byt5_base_seed52,seq2seq,byt5-base,52,baseline,coursework/configs/byt5_base_seed52.yaml,outputs/coursework/byt5_base_seed52/best_model.pt,coursework/results/artifacts/byt5_base_seed52/summary.json,27.283065747223134,48.21530654668992,36.26928974402255,27.23807660150092,50.081707980484936,36.93412241148352,complete,Multi-seed baseline for confidence intervals
byt5_base_external_mix,seq2seq,byt5-base,42,external_mix,coursework/configs/byt5_base_external_mix.yaml,outputs/coursework/byt5_base_external_mix/best_model.pt,coursework/results/artifacts/byt5_base_external_mix/summary.json,28.38212473470238,50.0467599488306,37.68863732526578,27.98977330358637,52.34774733982225,38.27795163008389,complete,Gold + OA-focused external/publication mix (~29K rows)
byt5_base_seed62,seq2seq,byt5-base,62,baseline,coursework/configs/byt5_base_seed62.yaml,outputs/coursework/byt5_base_seed62/best_model.pt,coursework/results/artifacts/byt5_base_seed62/summary.json,27.551966846587188,48.54932273917786,36.573615223738685,27.676066200835933,50.24337912749195,37.289932782001166,complete,Multi-seed baseline for confidence intervals
byt5_base_external_mix_seed52,seq2seq,byt5-base,52,external_mix,coursework/configs/byt5_base_external_mix_seed52.yaml,outputs/coursework/byt5_base_external_mix_seed52/best_model.pt,coursework/results/artifacts/byt5_base_external_mix_seed52/summary.json,28.203069536899392,49.97472275586664,37.54251697703519,28.4679972091816,52.382198194287874,38.61626952471956,complete,Multi-seed confirmation for the best external-mix result
byt5_base_external_mix_seed62,seq2seq,byt5-base,62,external_mix,coursework/configs/byt5_base_external_mix_seed62.yaml,outputs/coursework/byt5_base_external_mix_seed62/best_model.pt,coursework/results/artifacts/byt5_base_external_mix_seed62/summary.json,27.92858494259965,49.85258668045061,37.31369991991248,28.17121999475152,52.45030521052456,38.43942100081048,complete,Multi-seed confirmation for the best external-mix result
byt5_base_cw4_retrieval_compact,seq2seq,byt5-base,42,cw4_retrieval_compact,coursework/configs/byt5_base_cw4_retrieval_compact.yaml,outputs/coursework/byt5_base_cw4_retrieval_compact/best_model.pt,coursework/results/artifacts/byt5_base_cw4_retrieval_compact/summary.json,28.04137750649848,48.86502444830412,37.01678804838655,27.897106839434112,50.94642615713283,37.69957418317713,complete,Repair retrieval by truncating both retrieved fields
byt5_small_rq3_dictionary_gloss,seq2seq,byt5-small,42,rq3_dictionary_gloss,coursework/configs/byt5_small_rq3_dictionary_gloss.yaml,outputs/coursework/byt5_small_rq3_dictionary_gloss/best_model.pt,coursework/results/artifacts/byt5_small_rq3_dictionary_gloss/summary.json,21.37505294165269,41.12314870069241,29.648094046747023,21.56929532554187,42.8319380044955,30.394978535676973,complete,Add dictionary glosses
byt5_base_cw4_retrieval_source_only,seq2seq,byt5-base,42,cw4_retrieval_source_only,coursework/configs/byt5_base_cw4_retrieval_source_only.yaml,outputs/coursework/byt5_base_cw4_retrieval_source_only/best_model.pt,coursework/results/artifacts/byt5_base_cw4_retrieval_source_only/summary.json,27.739184137435288,48.64281464871223,36.73298235242768,28.25729817459484,50.83013337566082,37.898842133374906,complete,Repair retrieval by removing retrieved translation context
byt5_base_rq3_dictionary_gloss,seq2seq,byt5-base,42,rq3_dictionary_gloss,coursework/configs/byt5_base_rq3_dictionary_gloss.yaml,outputs/coursework/byt5_base_rq3_dictionary_gloss/best_model.pt,coursework/results/artifacts/byt5_base_rq3_dictionary_gloss/summary.json,26.50523285779608,47.48914670190756,35.478315793623835,26.44025139232177,49.0217599983685,36.002050747852216,complete,Add dictionary glosses
