step,epoch,metric,value
1,1,train/loss,5.278000831604004
1,1,train/lr,3.5e-07
2,1,train/loss,4.727468490600586
2,1,train/lr,7e-07
3,1,train/loss,5.591558933258057
3,1,train/lr,1.05e-06
4,1,train/loss,4.595516204833984
4,1,train/lr,1.4e-06
5,1,train/loss,4.679811477661133
5,1,train/lr,1.75e-06
6,1,train/loss,4.430746078491211
6,1,train/lr,2.1e-06
7,1,train/loss,4.50872802734375
7,1,train/lr,2.45e-06
8,1,train/loss,4.602643966674805
8,1,train/lr,2.8e-06
9,1,train/loss,4.527420520782471
9,1,train/lr,3.1499999999999995e-06
10,1,train/loss,4.180937767028809
10,1,train/lr,3.5e-06
11,1,train/loss,4.540023326873779
11,1,train/lr,3.8499999999999996e-06
12,1,train/loss,4.833385944366455
12,1,train/lr,4.2e-06
13,1,train/loss,5.290267467498779
13,1,train/lr,4.55e-06
14,1,train/loss,5.216343879699707
14,1,train/lr,4.9e-06
15,1,train/loss,4.660168647766113
15,1,train/lr,5.25e-06
16,1,train/loss,4.3690385818481445
16,1,train/lr,5.6e-06
17,1,train/loss,4.860188007354736
17,1,train/lr,5.95e-06
18,1,train/loss,4.441457748413086
18,1,train/lr,6.299999999999999e-06
19,1,train/loss,4.489955425262451
19,1,train/lr,6.65e-06
20,1,train/loss,4.165597915649414
20,1,train/lr,7e-06
21,1,train/loss,4.384313106536865
21,1,train/lr,7.349999999999999e-06
22,1,train/loss,5.134452819824219
22,1,train/lr,7.699999999999999e-06
23,1,train/loss,4.212015151977539
23,1,train/lr,8.05e-06
24,1,train/loss,5.1013336181640625
24,1,train/lr,8.4e-06
25,1,train/loss,5.767371654510498
25,1,train/lr,8.75e-06
26,1,train/loss,4.503758430480957
26,1,train/lr,9.1e-06
27,1,train/loss,4.889190196990967
27,1,train/lr,9.45e-06
28,1,train/loss,4.400049686431885
28,1,train/lr,9.8e-06
29,1,train/loss,4.458321571350098
29,1,train/lr,1.0149999999999998e-05
30,1,train/loss,4.337833404541016
30,1,train/lr,1.05e-05
31,1,train/loss,4.664743900299072
31,1,train/lr,1.085e-05
32,1,train/loss,4.316946983337402
32,1,train/lr,1.12e-05
33,1,train/loss,4.291952610015869
33,1,train/lr,1.155e-05
34,1,train/loss,4.107977867126465
34,1,train/lr,1.19e-05
35,1,train/loss,4.390533924102783
35,1,train/lr,1.2249999999999998e-05
36,1,train/loss,4.198513507843018
36,1,train/lr,1.2599999999999998e-05
37,1,train/loss,5.17337703704834
37,1,train/lr,1.2949999999999998e-05
38,1,train/loss,5.104448318481445
38,1,train/lr,1.33e-05
39,1,train/loss,4.628448486328125
39,1,train/lr,1.365e-05
40,1,train/loss,4.550051689147949
40,1,train/lr,1.4e-05
41,1,train/loss,4.311244010925293
41,1,train/lr,1.4349999999999998e-05
42,1,train/loss,4.2713093757629395
42,1,train/lr,1.4699999999999998e-05
43,1,train/loss,4.249153137207031
43,1,train/lr,1.5049999999999998e-05
44,1,train/loss,3.952691078186035
44,1,train/lr,1.5399999999999998e-05
45,1,train/loss,4.160939693450928
45,1,train/lr,1.575e-05
46,1,train/loss,4.066802978515625
46,1,train/lr,1.61e-05
47,1,train/loss,4.153928279876709
47,1,train/lr,1.6449999999999997e-05
48,1,train/loss,3.7659058570861816
48,1,train/lr,1.68e-05
49,1,train/loss,4.091165542602539
49,1,train/lr,1.7149999999999997e-05
50,1,train/loss,4.389019012451172
50,1,train/lr,1.75e-05
51,1,train/loss,4.419215679168701
51,1,train/lr,1.785e-05
52,1,train/loss,4.382927894592285
52,1,train/lr,1.82e-05
53,1,train/loss,4.335548400878906
53,1,train/lr,1.855e-05
54,1,train/loss,4.15656852722168
54,1,train/lr,1.89e-05
55,1,train/loss,4.170786380767822
55,1,train/lr,1.925e-05
56,1,train/loss,3.8914172649383545
56,1,train/lr,1.96e-05
57,1,train/loss,3.7945947647094727
57,1,train/lr,1.9949999999999997e-05
58,1,train/loss,3.8303170204162598
58,1,train/lr,2.0299999999999995e-05
59,1,train/loss,3.7481601238250732
59,1,train/lr,2.0649999999999997e-05
60,1,train/loss,3.786961555480957
60,1,train/lr,2.1e-05
61,1,train/loss,3.543977975845337
61,1,train/lr,2.1349999999999997e-05
62,1,train/loss,3.882512331008911
62,1,train/lr,2.17e-05
63,1,train/loss,4.531715393066406
63,1,train/lr,2.2049999999999997e-05
64,1,train/loss,4.061960220336914
64,1,train/lr,2.24e-05
65,1,train/loss,4.009538650512695
65,1,train/lr,2.2749999999999997e-05
66,1,train/loss,3.914065361022949
66,1,train/lr,2.31e-05
67,1,train/loss,3.972066879272461
67,1,train/lr,2.345e-05
68,1,train/loss,3.671971321105957
68,1,train/lr,2.38e-05
69,1,train/loss,3.6363697052001953
69,1,train/lr,2.4149999999999997e-05
70,1,train/loss,3.6113696098327637
70,1,train/lr,2.4499999999999996e-05
71,1,train/loss,3.639390468597412
71,1,train/lr,2.4849999999999998e-05
72,1,train/loss,3.4229736328125
72,1,train/lr,2.5199999999999996e-05
73,1,train/loss,3.5036120414733887
73,1,train/lr,2.5549999999999998e-05
74,1,train/loss,3.3554952144622803
74,1,train/lr,2.5899999999999996e-05
75,1,train/loss,3.4027504920959473
75,1,train/lr,2.6249999999999998e-05
76,1,train/loss,4.0612969398498535
76,1,train/lr,2.66e-05
77,1,train/loss,3.3380699157714844
77,1,train/lr,2.6949999999999998e-05
78,1,train/loss,3.7867352962493896
78,1,train/lr,2.73e-05
79,1,train/loss,3.3074557781219482
79,1,train/lr,2.7649999999999998e-05
80,1,train/loss,3.3807010650634766
80,1,train/lr,2.8e-05
81,1,train/loss,3.311870813369751
81,1,train/lr,2.8349999999999998e-05
82,1,train/loss,3.316743850708008
82,1,train/lr,2.8699999999999996e-05
83,1,train/loss,3.3225319385528564
83,1,train/lr,2.9049999999999995e-05
84,1,train/loss,3.2204887866973877
84,1,train/lr,2.9399999999999996e-05
85,1,train/loss,3.2671241760253906
85,1,train/lr,2.9749999999999998e-05
86,1,train/loss,3.287417411804199
86,1,train/lr,3.0099999999999996e-05
87,1,train/loss,3.466606616973877
87,1,train/lr,3.0449999999999998e-05
88,1,train/loss,3.7415831089019775
88,1,train/lr,3.0799999999999996e-05
89,1,train/loss,3.806243419647217
89,1,train/lr,3.115e-05
90,1,train/loss,3.3579330444335938
90,1,train/lr,3.15e-05
91,1,train/loss,3.415173053741455
91,1,train/lr,3.185e-05
92,1,train/loss,3.275047779083252
92,1,train/lr,3.22e-05
93,1,train/loss,3.330120086669922
93,1,train/lr,3.255e-05
94,1,train/loss,3.1279144287109375
94,1,train/lr,3.289999999999999e-05
95,1,train/loss,3.062107801437378
95,1,train/lr,3.3249999999999995e-05
96,1,train/loss,3.117420196533203
96,1,train/lr,3.36e-05
97,1,train/loss,2.9300355911254883
97,1,train/lr,3.395e-05
98,1,train/loss,2.9860658645629883
98,1,train/lr,3.4299999999999993e-05
99,1,train/loss,2.9570963382720947
99,1,train/lr,3.4649999999999995e-05
100,1,train/loss,2.827040672302246
100,1,train/lr,3.5e-05
101,1,train/loss,3.9529194831848145
101,1,train/lr,3.535e-05
102,1,train/loss,3.3720014095306396
102,1,train/lr,3.57e-05
103,1,train/loss,3.233360767364502
103,1,train/lr,3.6049999999999995e-05
104,1,train/loss,3.0636119842529297
104,1,train/lr,3.64e-05
105,1,train/loss,3.2278287410736084
105,1,train/lr,3.675e-05
106,1,train/loss,2.904597759246826
106,1,train/lr,3.71e-05
107,1,train/loss,2.886390209197998
107,1,train/lr,3.745e-05
108,1,train/loss,2.688709259033203
108,1,train/lr,3.78e-05
109,1,train/loss,2.7726545333862305
109,1,train/lr,3.815e-05
110,1,train/loss,2.7886407375335693
110,1,train/lr,3.85e-05
111,1,train/loss,2.7410261631011963
111,1,train/lr,3.885e-05
112,1,train/loss,2.6436243057250977
112,1,train/lr,3.92e-05
113,1,train/loss,3.1963047981262207
113,1,train/lr,3.954999999999999e-05
114,1,train/loss,3.0727691650390625
114,1,train/lr,3.9899999999999994e-05
115,1,train/loss,2.975296974182129
115,1,train/lr,4.0249999999999996e-05
116,1,train/loss,2.9250283241271973
116,1,train/lr,4.059999999999999e-05
117,1,train/loss,2.918178081512451
117,1,train/lr,4.094999999999999e-05
118,1,train/loss,2.9600119590759277
118,1,train/lr,4.1299999999999994e-05
119,1,train/loss,2.8677778244018555
119,1,train/lr,4.1649999999999996e-05
120,1,train/loss,2.6590425968170166
120,1,train/lr,4.2e-05
121,1,train/loss,2.867128610610962
121,1,train/lr,4.234999999999999e-05
122,1,train/loss,2.58950138092041
122,1,train/lr,4.2699999999999994e-05
123,1,train/loss,2.6546125411987305
123,1,train/lr,4.3049999999999996e-05
124,1,train/loss,2.58638334274292
124,1,train/lr,4.34e-05
125,1,train/loss,2.5656933784484863
125,1,train/lr,4.374999999999999e-05
126,1,train/loss,3.0919227600097656
126,1,train/lr,4.4099999999999995e-05
127,1,train/loss,3.2109642028808594
127,1,train/lr,4.4449999999999996e-05
128,1,train/loss,2.798872470855713
128,1,train/lr,4.48e-05
129,1,train/loss,2.6661934852600098
129,1,train/lr,4.515e-05
130,1,train/loss,2.8265089988708496
130,1,train/lr,4.5499999999999995e-05
131,1,train/loss,2.8300259113311768
131,1,train/lr,4.5849999999999996e-05
132,1,train/loss,2.593604564666748
132,1,train/lr,4.62e-05
133,1,train/loss,2.619845390319824
133,1,train/lr,4.655e-05
134,1,train/loss,2.587676763534546
134,1,train/lr,4.69e-05
135,1,train/loss,2.473646640777588
135,1,train/lr,4.7249999999999997e-05
136,1,train/loss,2.5653076171875
136,1,train/lr,4.76e-05
137,1,train/loss,2.4387283325195312
137,1,train/lr,4.795e-05
138,1,train/loss,3.067497491836548
138,1,train/lr,4.8299999999999995e-05
139,1,train/loss,3.108173370361328
139,1,train/lr,4.864999999999999e-05
140,1,train/loss,2.8355512619018555
140,1,train/lr,4.899999999999999e-05
141,1,train/loss,2.5930936336517334
141,1,train/lr,4.934999999999999e-05
142,1,train/loss,2.689208507537842
142,1,train/lr,4.9699999999999995e-05
143,1,train/loss,2.589292049407959
143,1,train/lr,5.004999999999999e-05
144,1,train/loss,2.5708587169647217
144,1,train/lr,5.039999999999999e-05
145,1,train/loss,2.567504405975342
145,1,train/lr,5.0749999999999994e-05
146,1,train/loss,2.4829063415527344
146,1,train/lr,5.1099999999999995e-05
147,1,train/loss,2.534759521484375
147,1,train/lr,5.145e-05
148,1,train/loss,2.5025908946990967
148,1,train/lr,5.179999999999999e-05
149,1,train/loss,2.4168503284454346
149,1,train/lr,5.2149999999999994e-05
150,1,train/loss,2.5868120193481445
150,1,train/lr,5.2499999999999995e-05
151,1,train/loss,3.1468615531921387
151,1,train/lr,5.285e-05
152,1,train/loss,2.6652636528015137
152,1,train/lr,5.32e-05
153,1,train/loss,2.5877370834350586
153,1,train/lr,5.3549999999999994e-05
154,1,train/loss,2.778397560119629
154,1,train/lr,5.3899999999999996e-05
155,1,train/loss,2.5387415885925293
155,1,train/lr,5.425e-05
156,1,train/loss,2.4861621856689453
