step,epoch,metric,value
1,1,train/loss,4.649904727935791
1,1,train/lr,3.5e-07
2,1,train/loss,4.30078649520874
2,1,train/lr,7e-07
3,1,train/loss,3.988015651702881
3,1,train/lr,1.05e-06
4,1,train/loss,3.98537540435791
4,1,train/lr,1.4e-06
5,1,train/loss,4.01692533493042
5,1,train/lr,1.75e-06
6,1,train/loss,3.949573278427124
6,1,train/lr,2.1e-06
7,1,train/loss,4.128174781799316
7,1,train/lr,2.45e-06
8,1,train/loss,3.777556896209717
8,1,train/lr,2.8e-06
9,1,train/loss,3.518911361694336
9,1,train/lr,3.1499999999999995e-06
10,1,train/loss,4.027865409851074
10,1,train/lr,3.5e-06
11,1,train/loss,4.293641567230225
11,1,train/lr,3.8499999999999996e-06
12,1,train/loss,4.449245929718018
12,1,train/lr,4.2e-06
13,1,train/loss,4.435494899749756
13,1,train/lr,4.55e-06
14,1,train/loss,4.351654529571533
14,1,train/lr,4.9e-06
15,1,train/loss,4.367674827575684
15,1,train/lr,5.25e-06
16,1,train/loss,4.049220085144043
16,1,train/lr,5.6e-06
17,1,train/loss,4.460182189941406
17,1,train/lr,5.95e-06
18,1,train/loss,4.103280544281006
18,1,train/lr,6.299999999999999e-06
19,1,train/loss,4.036447525024414
19,1,train/lr,6.65e-06
20,1,train/loss,3.66774320602417
20,1,train/lr,7e-06
21,1,train/loss,3.644746780395508
21,1,train/lr,7.349999999999999e-06
22,1,train/loss,3.6513991355895996
22,1,train/lr,7.699999999999999e-06
23,1,train/loss,4.370601177215576
23,1,train/lr,8.05e-06
24,1,train/loss,3.867912530899048
24,1,train/lr,8.4e-06
25,1,train/loss,4.989321231842041
25,1,train/lr,8.75e-06
26,1,train/loss,4.2438273429870605
26,1,train/lr,9.1e-06
27,1,train/loss,4.191927909851074
27,1,train/lr,9.45e-06
28,1,train/loss,4.069459915161133
28,1,train/lr,9.8e-06
29,1,train/loss,4.124760627746582
29,1,train/lr,1.0149999999999998e-05
30,1,train/loss,3.838191509246826
30,1,train/lr,1.05e-05
31,1,train/loss,3.6548643112182617
31,1,train/lr,1.085e-05
32,1,train/loss,4.047426223754883
32,1,train/lr,1.12e-05
33,1,train/loss,3.898632526397705
33,1,train/lr,1.155e-05
34,1,train/loss,3.7110676765441895
34,1,train/lr,1.19e-05
35,1,train/loss,3.708822727203369
35,1,train/lr,1.2249999999999998e-05
36,1,train/loss,3.623106002807617
36,1,train/lr,1.2599999999999998e-05
37,1,train/loss,3.9762473106384277
37,1,train/lr,1.2949999999999998e-05
38,1,train/loss,3.9051666259765625
38,1,train/lr,1.33e-05
39,1,train/loss,4.195690155029297
39,1,train/lr,1.365e-05
40,1,train/loss,3.8095955848693848
40,1,train/lr,1.4e-05
41,1,train/loss,4.043435096740723
41,1,train/lr,1.4349999999999998e-05
42,1,train/loss,4.230684757232666
42,1,train/lr,1.4699999999999998e-05
43,1,train/loss,4.045530796051025
43,1,train/lr,1.5049999999999998e-05
44,1,train/loss,3.6091904640197754
44,1,train/lr,1.5399999999999998e-05
45,1,train/loss,3.7821502685546875
45,1,train/lr,1.575e-05
46,1,train/loss,2.960963726043701
46,1,train/lr,1.61e-05
47,1,train/loss,3.7267088890075684
47,1,train/lr,1.6449999999999997e-05
48,1,train/loss,3.6585965156555176
48,1,train/lr,1.68e-05
49,1,train/loss,3.6568613052368164
49,1,train/lr,1.7149999999999997e-05
50,1,train/loss,3.628419876098633
50,1,train/lr,1.75e-05
51,1,train/loss,4.111931324005127
51,1,train/lr,1.785e-05
52,1,train/loss,3.5735979080200195
52,1,train/lr,1.82e-05
53,1,train/loss,3.5693178176879883
53,1,train/lr,1.855e-05
54,1,train/loss,3.7912745475769043
54,1,train/lr,1.89e-05
55,1,train/loss,3.5882785320281982
55,1,train/lr,1.925e-05
56,1,train/loss,3.637218713760376
56,1,train/lr,1.96e-05
57,1,train/loss,3.3937923908233643
57,1,train/lr,1.9949999999999997e-05
58,1,train/loss,3.006908655166626
58,1,train/lr,2.0299999999999995e-05
59,1,train/loss,3.125847816467285
59,1,train/lr,2.0649999999999997e-05
60,1,train/loss,3.3869545459747314
60,1,train/lr,2.1e-05
61,1,train/loss,3.3010435104370117
61,1,train/lr,2.1349999999999997e-05
62,1,train/loss,3.1264090538024902
62,1,train/lr,2.17e-05
63,1,train/loss,3.891476631164551
63,1,train/lr,2.2049999999999997e-05
64,1,train/loss,3.4651365280151367
64,1,train/lr,2.24e-05
65,1,train/loss,3.796288013458252
65,1,train/lr,2.2749999999999997e-05
66,1,train/loss,3.276293992996216
66,1,train/lr,2.31e-05
67,1,train/loss,3.287503480911255
67,1,train/lr,2.345e-05
68,1,train/loss,3.2333364486694336
68,1,train/lr,2.38e-05
69,1,train/loss,3.3306403160095215
