step,epoch,metric,value
1,1,train/loss,4.016048431396484
1,1,train/lr,3.5e-07
2,1,train/loss,4.287084579467773
2,1,train/lr,7e-07
3,1,train/loss,3.9553208351135254
3,1,train/lr,1.05e-06
4,1,train/loss,4.1923322677612305
4,1,train/lr,1.4e-06
5,1,train/loss,4.108777046203613
5,1,train/lr,1.75e-06
6,1,train/loss,4.302311420440674
6,1,train/lr,2.1e-06
7,1,train/loss,4.351168632507324
7,1,train/lr,2.45e-06
8,1,train/loss,3.5838112831115723
8,1,train/lr,2.8e-06
9,1,train/loss,4.019591808319092
9,1,train/lr,3.1499999999999995e-06
10,1,train/loss,3.7629313468933105
10,1,train/lr,3.5e-06
11,1,train/loss,4.346654415130615
11,1,train/lr,3.8499999999999996e-06
12,1,train/loss,5.996264457702637
12,1,train/lr,4.2e-06
13,1,train/loss,4.293955326080322
13,1,train/lr,4.55e-06
14,1,train/loss,4.736846446990967
14,1,train/lr,4.9e-06
15,1,train/loss,3.9843103885650635
15,1,train/lr,5.25e-06
16,1,train/loss,4.334491729736328
16,1,train/lr,5.6e-06
17,1,train/loss,4.435117721557617
17,1,train/lr,5.95e-06
18,1,train/loss,4.377951622009277
18,1,train/lr,6.299999999999999e-06
19,1,train/loss,3.955288887023926
19,1,train/lr,6.65e-06
20,1,train/loss,4.237196922302246
20,1,train/lr,7e-06
21,1,train/loss,3.7337684631347656
21,1,train/lr,7.349999999999999e-06
22,1,train/loss,3.866802215576172
22,1,train/lr,7.699999999999999e-06
23,1,train/loss,3.937154769897461
23,1,train/lr,8.05e-06
24,1,train/loss,3.817296266555786
24,1,train/lr,8.4e-06
25,1,train/loss,5.140468597412109
25,1,train/lr,8.75e-06
26,1,train/loss,4.286808013916016
26,1,train/lr,9.1e-06
27,1,train/loss,4.338436603546143
27,1,train/lr,9.45e-06
28,1,train/loss,3.9373974800109863
28,1,train/lr,9.8e-06
29,1,train/loss,3.9831130504608154
29,1,train/lr,1.0149999999999998e-05
30,1,train/loss,3.8935647010803223
30,1,train/lr,1.05e-05
31,1,train/loss,4.086773872375488
31,1,train/lr,1.085e-05
32,1,train/loss,3.7034220695495605
32,1,train/lr,1.12e-05
33,1,train/loss,3.7371766567230225
33,1,train/lr,1.155e-05
34,1,train/loss,3.8506991863250732
34,1,train/lr,1.19e-05
35,1,train/loss,3.653128147125244
35,1,train/lr,1.2249999999999998e-05
36,1,train/loss,3.8136134147644043
36,1,train/lr,1.2599999999999998e-05
37,1,train/loss,4.6597514152526855
37,1,train/lr,1.2949999999999998e-05
38,1,train/loss,4.196131706237793
38,1,train/lr,1.33e-05
39,1,train/loss,3.8685004711151123
39,1,train/lr,1.365e-05
40,1,train/loss,3.9064202308654785
40,1,train/lr,1.4e-05
41,1,train/loss,3.728635311126709
41,1,train/lr,1.4349999999999998e-05
42,1,train/loss,3.6422853469848633
42,1,train/lr,1.4699999999999998e-05
43,1,train/loss,3.6099624633789062
43,1,train/lr,1.5049999999999998e-05
44,1,train/loss,3.6814322471618652
44,1,train/lr,1.5399999999999998e-05
45,1,train/loss,3.6236047744750977
45,1,train/lr,1.575e-05
46,1,train/loss,3.510241746902466
46,1,train/lr,1.61e-05
47,1,train/loss,3.3715479373931885
47,1,train/lr,1.6449999999999997e-05
48,1,train/loss,3.1753969192504883
48,1,train/lr,1.68e-05
49,1,train/loss,3.5197553634643555
49,1,train/lr,1.7149999999999997e-05
50,1,train/loss,3.713034152984619
