step,epoch,metric,value
1,1,train/loss,4.505494594573975
1,1,train/lr,1.75e-07
2,1,train/loss,4.75860071182251
2,1,train/lr,3.5e-07
3,1,train/loss,4.586033821105957
3,1,train/lr,5.25e-07
4,1,train/loss,4.471399307250977
4,1,train/lr,7e-07
5,1,train/loss,4.399188995361328
5,1,train/lr,8.75e-07
6,1,train/loss,4.4296722412109375
6,1,train/lr,1.05e-06
7,1,train/loss,4.262396812438965
7,1,train/lr,1.225e-06
8,1,train/loss,4.662654876708984
8,1,train/lr,1.4e-06
9,1,train/loss,4.448399066925049
9,1,train/lr,1.5749999999999997e-06
10,1,train/loss,4.407930374145508
10,1,train/lr,1.75e-06
11,1,train/loss,4.237789154052734
11,1,train/lr,1.9249999999999998e-06
12,1,train/loss,4.881092071533203
12,1,train/lr,2.1e-06
13,1,train/loss,4.966891288757324
13,1,train/lr,2.275e-06
14,1,train/loss,4.915914535522461
14,1,train/lr,2.45e-06
15,1,train/loss,5.096187591552734
15,1,train/lr,2.625e-06
16,1,train/loss,4.60106086730957
16,1,train/lr,2.8e-06
17,1,train/loss,5.059784412384033
17,1,train/lr,2.975e-06
18,1,train/loss,4.374614238739014
18,1,train/lr,3.1499999999999995e-06
19,1,train/loss,4.429043769836426
19,1,train/lr,3.325e-06
20,1,train/loss,4.328519821166992
20,1,train/lr,3.5e-06
21,1,train/loss,4.318727493286133
21,1,train/lr,3.6749999999999995e-06
22,1,train/loss,4.187553405761719
22,1,train/lr,3.8499999999999996e-06
23,1,train/loss,4.995293140411377
23,1,train/lr,4.025e-06
24,1,train/loss,4.655838489532471
24,1,train/lr,4.2e-06
25,1,train/loss,5.283251762390137
25,1,train/lr,4.375e-06
26,1,train/loss,4.6559858322143555
26,1,train/lr,4.55e-06
27,1,train/loss,4.799310207366943
27,1,train/lr,4.725e-06
28,1,train/loss,4.5664520263671875
28,1,train/lr,4.9e-06
29,1,train/loss,4.568360328674316
29,1,train/lr,5.074999999999999e-06
30,1,train/loss,4.413016319274902
30,1,train/lr,5.25e-06
31,1,train/loss,4.217959403991699
31,1,train/lr,5.425e-06
32,1,train/loss,4.336062908172607
32,1,train/lr,5.6e-06
33,1,train/loss,4.41539192199707
33,1,train/lr,5.775e-06
34,1,train/loss,4.109650135040283
34,1,train/lr,5.95e-06
35,1,train/loss,4.262536525726318
35,1,train/lr,6.124999999999999e-06
36,1,train/loss,4.048923969268799
36,1,train/lr,6.299999999999999e-06
37,1,train/loss,4.5147809982299805
37,1,train/lr,6.474999999999999e-06
38,1,train/loss,4.627060890197754
38,1,train/lr,6.65e-06
39,1,train/loss,4.380077362060547
39,1,train/lr,6.825e-06
40,1,train/loss,4.456476211547852
40,1,train/lr,7e-06
41,1,train/loss,4.288490295410156
41,1,train/lr,7.174999999999999e-06
42,1,train/loss,4.316667556762695
42,1,train/lr,7.349999999999999e-06
43,1,train/loss,4.393413066864014
43,1,train/lr,7.524999999999999e-06
44,1,train/loss,4.401838302612305
44,1,train/lr,7.699999999999999e-06
45,1,train/loss,4.677367210388184
45,1,train/lr,7.875e-06
46,1,train/loss,4.2878828048706055
46,1,train/lr,8.05e-06
47,1,train/loss,4.251081943511963
47,1,train/lr,8.224999999999998e-06
48,1,train/loss,4.142495155334473
48,1,train/lr,8.4e-06
49,1,train/loss,4.0540313720703125
49,1,train/lr,8.574999999999998e-06
50,1,train/loss,4.887703895568848
50,1,train/lr,8.75e-06
51,1,train/loss,4.12019681930542
51,1,train/lr,8.925e-06
52,1,train/loss,4.742580413818359
52,1,train/lr,9.1e-06
53,1,train/loss,4.2647624015808105
53,1,train/lr,9.275e-06
54,1,train/loss,4.3122239112854
54,1,train/lr,9.45e-06
55,1,train/loss,3.9474802017211914
55,1,train/lr,9.625e-06
56,1,train/loss,4.1928486824035645
56,1,train/lr,9.8e-06
57,1,train/loss,4.070191383361816
57,1,train/lr,9.974999999999999e-06
58,1,train/loss,4.165021896362305
58,1,train/lr,1.0149999999999998e-05
59,1,train/loss,3.998497486114502
59,1,train/lr,1.0324999999999999e-05
60,1,train/loss,3.980128765106201
60,1,train/lr,1.05e-05
61,1,train/loss,4.299618244171143
61,1,train/lr,1.0674999999999999e-05
62,1,train/loss,4.219182014465332
62,1,train/lr,1.085e-05
63,1,train/loss,4.1783366203308105
63,1,train/lr,1.1024999999999999e-05
64,1,train/loss,4.303183555603027
64,1,train/lr,1.12e-05
65,1,train/loss,4.132095813751221
65,1,train/lr,1.1374999999999999e-05
66,1,train/loss,3.9444150924682617
66,1,train/lr,1.155e-05
67,1,train/loss,4.019223213195801
67,1,train/lr,1.1725e-05
68,1,train/loss,3.9975979328155518
68,1,train/lr,1.19e-05
69,1,train/loss,3.926285743713379
69,1,train/lr,1.2074999999999999e-05
70,1,train/loss,3.718111515045166
70,1,train/lr,1.2249999999999998e-05
71,1,train/loss,3.9781436920166016
71,1,train/lr,1.2424999999999999e-05
72,1,train/loss,3.695352554321289
72,1,train/lr,1.2599999999999998e-05
73,1,train/loss,3.680983066558838
73,1,train/lr,1.2774999999999999e-05
74,1,train/loss,3.630561351776123
74,1,train/lr,1.2949999999999998e-05
75,1,train/loss,3.852402448654175
75,1,train/lr,1.3124999999999999e-05
76,1,train/loss,4.044895648956299
76,1,train/lr,1.33e-05
77,1,train/loss,3.9315695762634277
77,1,train/lr,1.3474999999999999e-05
78,1,train/loss,3.997835874557495
78,1,train/lr,1.365e-05
79,1,train/loss,3.8355774879455566
79,1,train/lr,1.3824999999999999e-05
80,1,train/loss,3.884330987930298
80,1,train/lr,1.4e-05
81,1,train/loss,3.685014247894287
81,1,train/lr,1.4174999999999999e-05
82,1,train/loss,3.6641685962677
82,1,train/lr,1.4349999999999998e-05
83,1,train/loss,3.6704444885253906
83,1,train/lr,1.4524999999999997e-05
84,1,train/loss,3.7188801765441895
84,1,train/lr,1.4699999999999998e-05
85,1,train/loss,3.57090425491333
85,1,train/lr,1.4874999999999999e-05
86,1,train/loss,3.592623233795166
86,1,train/lr,1.5049999999999998e-05
87,1,train/loss,3.674309253692627
87,1,train/lr,1.5224999999999999e-05
88,1,train/loss,4.053804874420166
88,1,train/lr,1.5399999999999998e-05
89,1,train/loss,3.889239549636841
89,1,train/lr,1.5575e-05
90,1,train/loss,3.924816131591797
90,1,train/lr,1.575e-05
91,1,train/loss,3.6456079483032227
91,1,train/lr,1.5925e-05
92,1,train/loss,3.682559013366699
92,1,train/lr,1.61e-05
93,1,train/loss,3.5597002506256104
93,1,train/lr,1.6275e-05
94,1,train/loss,3.727198839187622
94,1,train/lr,1.6449999999999997e-05
95,1,train/loss,3.525318145751953
95,1,train/lr,1.6624999999999998e-05
96,1,train/loss,3.377310276031494
96,1,train/lr,1.68e-05
97,1,train/loss,3.4406352043151855
97,1,train/lr,1.6975e-05
98,1,train/loss,3.368286609649658
98,1,train/lr,1.7149999999999997e-05
99,1,train/loss,3.359800338745117
99,1,train/lr,1.7324999999999998e-05
100,1,train/loss,3.285367727279663
100,1,train/lr,1.75e-05
101,1,train/loss,4.124975204467773
101,1,train/lr,1.7675e-05
