step,epoch,metric,value
1,1,train/loss,4.3678202629089355
1,1,train/lr,1.75e-07
2,1,train/loss,4.8263020515441895
2,1,train/lr,3.5e-07
3,1,train/loss,4.632872104644775
3,1,train/lr,5.25e-07
4,1,train/loss,4.647139549255371
4,1,train/lr,7e-07
5,1,train/loss,4.40969181060791
5,1,train/lr,8.75e-07
6,1,train/loss,4.525979518890381
6,1,train/lr,1.05e-06
7,1,train/loss,4.329906463623047
7,1,train/lr,1.225e-06
8,1,train/loss,4.42264461517334
8,1,train/lr,1.4e-06
9,1,train/loss,4.3330397605896
9,1,train/lr,1.5749999999999997e-06
10,1,train/loss,4.321292400360107
10,1,train/lr,1.75e-06
11,1,train/loss,4.457060813903809
11,1,train/lr,1.9249999999999998e-06
12,1,train/loss,4.430254936218262
12,1,train/lr,2.1e-06
13,1,train/loss,5.496455192565918
13,1,train/lr,2.275e-06
14,1,train/loss,4.500640869140625
14,1,train/lr,2.45e-06
15,1,train/loss,4.639491081237793
15,1,train/lr,2.625e-06
16,1,train/loss,4.594664096832275
16,1,train/lr,2.8e-06
17,1,train/loss,4.602695465087891
17,1,train/lr,2.975e-06
18,1,train/loss,4.275034427642822
18,1,train/lr,3.1499999999999995e-06
19,1,train/loss,4.2238078117370605
19,1,train/lr,3.325e-06
20,1,train/loss,4.346245765686035
20,1,train/lr,3.5e-06
21,1,train/loss,4.236173152923584
21,1,train/lr,3.6749999999999995e-06
22,1,train/loss,4.149470806121826
22,1,train/lr,3.8499999999999996e-06
23,1,train/loss,4.288386344909668
23,1,train/lr,4.025e-06
24,1,train/loss,4.5477447509765625
24,1,train/lr,4.2e-06
25,1,train/loss,5.1323699951171875
25,1,train/lr,4.375e-06
26,1,train/loss,4.645953178405762
26,1,train/lr,4.55e-06
27,1,train/loss,4.4514055252075195
27,1,train/lr,4.725e-06
28,1,train/loss,4.3492937088012695
28,1,train/lr,4.9e-06
29,1,train/loss,4.723665714263916
29,1,train/lr,5.074999999999999e-06
30,1,train/loss,4.54307222366333
30,1,train/lr,5.25e-06
31,1,train/loss,4.4478440284729
31,1,train/lr,5.425e-06
32,1,train/loss,4.360456943511963
32,1,train/lr,5.6e-06
33,1,train/loss,4.272365570068359
33,1,train/lr,5.775e-06
34,1,train/loss,4.281881332397461
34,1,train/lr,5.95e-06
35,1,train/loss,4.2067975997924805
35,1,train/lr,6.124999999999999e-06
36,1,train/loss,4.217747211456299
36,1,train/lr,6.299999999999999e-06
37,1,train/loss,4.6953325271606445
37,1,train/lr,6.474999999999999e-06
38,1,train/loss,4.454362869262695
38,1,train/lr,6.65e-06
39,1,train/loss,4.693563461303711
39,1,train/lr,6.825e-06
40,1,train/loss,4.539924621582031
40,1,train/lr,7e-06
41,1,train/loss,4.377480983734131
41,1,train/lr,7.174999999999999e-06
42,1,train/loss,4.273333549499512
42,1,train/lr,7.349999999999999e-06
43,1,train/loss,4.2777299880981445
43,1,train/lr,7.524999999999999e-06
44,1,train/loss,4.2142744064331055
44,1,train/lr,7.699999999999999e-06
45,1,train/loss,4.089956760406494
45,1,train/lr,7.875e-06
46,1,train/loss,4.109251022338867
46,1,train/lr,8.05e-06
47,1,train/loss,4.170581340789795
47,1,train/lr,8.224999999999998e-06
48,1,train/loss,4.265213966369629
48,1,train/lr,8.4e-06
49,1,train/loss,4.22235631942749
49,1,train/lr,8.574999999999998e-06
50,1,train/loss,4.69136905670166
50,1,train/lr,8.75e-06
51,1,train/loss,4.369081974029541
51,1,train/lr,8.925e-06
52,1,train/loss,4.318245887756348
52,1,train/lr,9.1e-06
53,1,train/loss,4.557253360748291
53,1,train/lr,9.275e-06
54,1,train/loss,4.197944164276123
54,1,train/lr,9.45e-06
55,1,train/loss,4.164992809295654
