step,epoch,metric,value
1,1,train/loss,4.788347244262695
1,1,train/lr,3.5e-07
2,1,train/loss,4.343470573425293
2,1,train/lr,7e-07
3,1,train/loss,4.5192646980285645
3,1,train/lr,1.05e-06
4,1,train/loss,4.590882301330566
4,1,train/lr,1.4e-06
5,1,train/loss,4.995453834533691
5,1,train/lr,1.75e-06
6,1,train/loss,4.385944366455078
6,1,train/lr,2.1e-06
7,1,train/loss,4.228052616119385
7,1,train/lr,2.45e-06
8,1,train/loss,4.138632297515869
8,1,train/lr,2.8e-06
9,1,train/loss,4.365420341491699
9,1,train/lr,3.1499999999999995e-06
10,1,train/loss,4.226317405700684
10,1,train/lr,3.5e-06
11,1,train/loss,4.702767372131348
11,1,train/lr,3.8499999999999996e-06
12,1,train/loss,5.117462158203125
12,1,train/lr,4.2e-06
13,1,train/loss,5.02922248840332
13,1,train/lr,4.55e-06
14,1,train/loss,4.717463493347168
14,1,train/lr,4.9e-06
15,1,train/loss,4.858219146728516
15,1,train/lr,5.25e-06
16,1,train/loss,4.532407760620117
16,1,train/lr,5.6e-06
17,1,train/loss,4.3900041580200195
17,1,train/lr,5.95e-06
18,1,train/loss,4.603797912597656
18,1,train/lr,6.299999999999999e-06
19,1,train/loss,4.41022253036499
19,1,train/lr,6.65e-06
20,1,train/loss,4.368190288543701
20,1,train/lr,7e-06
21,1,train/loss,4.298796653747559
21,1,train/lr,7.349999999999999e-06
22,1,train/loss,4.560372829437256
22,1,train/lr,7.699999999999999e-06
23,1,train/loss,4.20391845703125
23,1,train/lr,8.05e-06
24,1,train/loss,4.819138050079346
24,1,train/lr,8.4e-06
25,1,train/loss,5.939732551574707
25,1,train/lr,8.75e-06
26,1,train/loss,4.671526908874512
26,1,train/lr,9.1e-06
27,1,train/loss,4.525402545928955
27,1,train/lr,9.45e-06
28,1,train/loss,4.457306385040283
28,1,train/lr,9.8e-06
29,1,train/loss,4.557129859924316
29,1,train/lr,1.0149999999999998e-05
30,1,train/loss,4.524360656738281
30,1,train/lr,1.05e-05
31,1,train/loss,4.445981025695801
31,1,train/lr,1.085e-05
32,1,train/loss,4.2253217697143555
32,1,train/lr,1.12e-05
33,1,train/loss,4.1957783699035645
33,1,train/lr,1.155e-05
34,1,train/loss,4.61829948425293
34,1,train/lr,1.19e-05
35,1,train/loss,4.033211708068848
35,1,train/lr,1.2249999999999998e-05
36,1,train/loss,4.021886348724365
