step,epoch,metric,value
1,1,train/loss,4.819031238555908
1,1,train/lr,3.5e-07
2,1,train/loss,4.896926403045654
2,1,train/lr,7e-07
3,1,train/loss,5.266422271728516
3,1,train/lr,1.05e-06
4,1,train/loss,4.790215015411377
4,1,train/lr,1.4e-06
5,1,train/loss,4.631216526031494
5,1,train/lr,1.75e-06
6,1,train/loss,4.551872253417969
6,1,train/lr,2.1e-06
7,1,train/loss,4.625295162200928
7,1,train/lr,2.45e-06
8,1,train/loss,4.408085346221924
8,1,train/lr,2.8e-06
9,1,train/loss,4.472332000732422
9,1,train/lr,3.1499999999999995e-06
10,1,train/loss,4.901386737823486
10,1,train/lr,3.5e-06
11,1,train/loss,5.144217491149902
11,1,train/lr,3.8499999999999996e-06
12,1,train/loss,4.78746223449707
12,1,train/lr,4.2e-06
13,1,train/loss,5.314295291900635
13,1,train/lr,4.55e-06
14,1,train/loss,4.677701473236084
14,1,train/lr,4.9e-06
15,1,train/loss,4.481125831604004
15,1,train/lr,5.25e-06
16,1,train/loss,4.550471782684326
16,1,train/lr,5.6e-06
17,1,train/loss,4.497098445892334
17,1,train/lr,5.95e-06
18,1,train/loss,4.521971702575684
18,1,train/lr,6.299999999999999e-06
19,1,train/loss,4.404778003692627
19,1,train/lr,6.65e-06
20,1,train/loss,4.34256649017334
20,1,train/lr,7e-06
21,1,train/loss,4.374699115753174
21,1,train/lr,7.349999999999999e-06
22,1,train/loss,4.500314235687256
22,1,train/lr,7.699999999999999e-06
23,1,train/loss,4.372868537902832
23,1,train/lr,8.05e-06
24,1,train/loss,5.092500686645508
24,1,train/lr,8.4e-06
25,1,train/loss,5.479177474975586
25,1,train/lr,8.75e-06
26,1,train/loss,5.146734237670898
26,1,train/lr,9.1e-06
27,1,train/loss,4.708056449890137
27,1,train/lr,9.45e-06
28,1,train/loss,4.814085006713867
28,1,train/lr,9.8e-06
29,1,train/loss,4.133392810821533
29,1,train/lr,1.0149999999999998e-05
30,1,train/loss,4.668127059936523
30,1,train/lr,1.05e-05
31,1,train/loss,4.609047889709473
31,1,train/lr,1.085e-05
32,1,train/loss,4.203441143035889
32,1,train/lr,1.12e-05
33,1,train/loss,4.280267715454102
33,1,train/lr,1.155e-05
34,1,train/loss,4.319766998291016
34,1,train/lr,1.19e-05
35,1,train/loss,4.446780204772949
35,1,train/lr,1.2249999999999998e-05
36,1,train/loss,4.193243026733398
36,1,train/lr,1.2599999999999998e-05
37,1,train/loss,4.621603012084961
37,1,train/lr,1.2949999999999998e-05
38,1,train/loss,5.130553722381592
38,1,train/lr,1.33e-05
39,1,train/loss,4.650551795959473
39,1,train/lr,1.365e-05
40,1,train/loss,4.495075225830078
40,1,train/lr,1.4e-05
41,1,train/loss,4.279411315917969
41,1,train/lr,1.4349999999999998e-05
42,1,train/loss,4.355085849761963
42,1,train/lr,1.4699999999999998e-05
43,1,train/loss,4.202155113220215
43,1,train/lr,1.5049999999999998e-05
44,1,train/loss,4.054238319396973
44,1,train/lr,1.5399999999999998e-05
45,1,train/loss,4.138110160827637
45,1,train/lr,1.575e-05
46,1,train/loss,3.95215106010437
46,1,train/lr,1.61e-05
47,1,train/loss,3.853325605392456
47,1,train/lr,1.6449999999999997e-05
48,1,train/loss,3.7594330310821533
48,1,train/lr,1.68e-05
49,1,train/loss,4.205917835235596
49,1,train/lr,1.7149999999999997e-05
50,1,train/loss,4.209774017333984
50,1,train/lr,1.75e-05
51,1,train/loss,4.429197788238525
51,1,train/lr,1.785e-05
52,1,train/loss,4.5120038986206055
52,1,train/lr,1.82e-05
53,1,train/loss,4.0651631355285645
53,1,train/lr,1.855e-05
54,1,train/loss,4.368680000305176
54,1,train/lr,1.89e-05
55,1,train/loss,4.041854381561279
55,1,train/lr,1.925e-05
56,1,train/loss,3.9833879470825195
56,1,train/lr,1.96e-05
57,1,train/loss,3.8555421829223633
57,1,train/lr,1.9949999999999997e-05
58,1,train/loss,4.11903190612793
58,1,train/lr,2.0299999999999995e-05
59,1,train/loss,3.912656784057617
59,1,train/lr,2.0649999999999997e-05
60,1,train/loss,3.608165740966797
60,1,train/lr,2.1e-05
61,1,train/loss,3.685941696166992
61,1,train/lr,2.1349999999999997e-05
62,1,train/loss,3.7932305335998535
62,1,train/lr,2.17e-05
63,1,train/loss,4.252988815307617
63,1,train/lr,2.2049999999999997e-05
64,1,train/loss,4.1132893562316895
64,1,train/lr,2.24e-05
65,1,train/loss,3.999074935913086
65,1,train/lr,2.2749999999999997e-05
66,1,train/loss,3.80361270904541
66,1,train/lr,2.31e-05
67,1,train/loss,3.7038207054138184
67,1,train/lr,2.345e-05
68,1,train/loss,3.7220211029052734
68,1,train/lr,2.38e-05
69,1,train/loss,3.5860495567321777
69,1,train/lr,2.4149999999999997e-05
70,1,train/loss,3.567793607711792
70,1,train/lr,2.4499999999999996e-05
71,1,train/loss,3.459453821182251
71,1,train/lr,2.4849999999999998e-05
72,1,train/loss,3.5095314979553223
72,1,train/lr,2.5199999999999996e-05
73,1,train/loss,3.4532759189605713
73,1,train/lr,2.5549999999999998e-05
74,1,train/loss,3.4039111137390137
74,1,train/lr,2.5899999999999996e-05
75,1,train/loss,3.4338150024414062
75,1,train/lr,2.6249999999999998e-05
76,1,train/loss,4.613142013549805
76,1,train/lr,2.66e-05
77,1,train/loss,3.788820505142212
77,1,train/lr,2.6949999999999998e-05
78,1,train/loss,3.8570079803466797
78,1,train/lr,2.73e-05
79,1,train/loss,3.4787192344665527
79,1,train/lr,2.7649999999999998e-05
80,1,train/loss,3.3815996646881104
80,1,train/lr,2.8e-05
81,1,train/loss,3.2568960189819336
81,1,train/lr,2.8349999999999998e-05
82,1,train/loss,3.319457530975342
82,1,train/lr,2.8699999999999996e-05
83,1,train/loss,3.413747549057007
83,1,train/lr,2.9049999999999995e-05
84,1,train/loss,3.169177293777466
84,1,train/lr,2.9399999999999996e-05
85,1,train/loss,3.133214235305786
85,1,train/lr,2.9749999999999998e-05
86,1,train/loss,3.1843485832214355
86,1,train/lr,3.0099999999999996e-05
87,1,train/loss,3.03432297706604
87,1,train/lr,3.0449999999999998e-05
88,1,train/loss,3.790971279144287
88,1,train/lr,3.0799999999999996e-05
89,1,train/loss,3.619861602783203
89,1,train/lr,3.115e-05
90,1,train/loss,3.4258251190185547
90,1,train/lr,3.15e-05
91,1,train/loss,3.4298276901245117
91,1,train/lr,3.185e-05
92,1,train/loss,3.1761035919189453
92,1,train/lr,3.22e-05
93,1,train/loss,3.296741008758545
93,1,train/lr,3.255e-05
94,1,train/loss,3.0950262546539307
94,1,train/lr,3.289999999999999e-05
95,1,train/loss,3.126681327819824
95,1,train/lr,3.3249999999999995e-05
96,1,train/loss,3.054622173309326
96,1,train/lr,3.36e-05
97,1,train/loss,2.9601974487304688
97,1,train/lr,3.395e-05
98,1,train/loss,2.9831228256225586
98,1,train/lr,3.4299999999999993e-05
99,1,train/loss,2.9588186740875244
99,1,train/lr,3.4649999999999995e-05
100,1,train/loss,2.897897243499756
100,1,train/lr,3.5e-05
101,1,train/loss,3.373715400695801
101,1,train/lr,3.535e-05
102,1,train/loss,3.3177177906036377
102,1,train/lr,3.57e-05
103,1,train/loss,3.2963387966156006
103,1,train/lr,3.6049999999999995e-05
104,1,train/loss,3.2343568801879883
104,1,train/lr,3.64e-05
105,1,train/loss,2.8960957527160645
105,1,train/lr,3.675e-05
106,1,train/loss,2.9017510414123535
106,1,train/lr,3.71e-05
107,1,train/loss,2.9047799110412598
107,1,train/lr,3.745e-05
108,1,train/loss,3.007096529006958
108,1,train/lr,3.78e-05
109,1,train/loss,2.9074230194091797
109,1,train/lr,3.815e-05
110,1,train/loss,2.773876667022705
110,1,train/lr,3.85e-05
111,1,train/loss,2.7207908630371094
111,1,train/lr,3.885e-05
112,1,train/loss,2.6914515495300293
112,1,train/lr,3.92e-05
113,1,train/loss,3.7428879737854004
113,1,train/lr,3.954999999999999e-05
114,1,train/loss,3.0240612030029297
114,1,train/lr,3.9899999999999994e-05
115,1,train/loss,3.0708794593811035
115,1,train/lr,4.0249999999999996e-05
116,1,train/loss,3.017160415649414
116,1,train/lr,4.059999999999999e-05
117,1,train/loss,3.005574941635132
117,1,train/lr,4.094999999999999e-05
118,1,train/loss,2.7687342166900635
118,1,train/lr,4.1299999999999994e-05
119,1,train/loss,2.877117395401001
119,1,train/lr,4.1649999999999996e-05
120,1,train/loss,2.7916436195373535
120,1,train/lr,4.2e-05
121,1,train/loss,2.6615495681762695
121,1,train/lr,4.234999999999999e-05
122,1,train/loss,2.635624408721924
122,1,train/lr,4.2699999999999994e-05
123,1,train/loss,2.6770529747009277
123,1,train/lr,4.3049999999999996e-05
124,1,train/loss,2.5779690742492676
124,1,train/lr,4.34e-05
125,1,train/loss,2.5699150562286377
125,1,train/lr,4.374999999999999e-05
126,1,train/loss,3.01715087890625
126,1,train/lr,4.4099999999999995e-05
127,1,train/loss,3.4703149795532227
127,1,train/lr,4.4449999999999996e-05
128,1,train/loss,2.8253262042999268
128,1,train/lr,4.48e-05
129,1,train/loss,2.686399459838867
129,1,train/lr,4.515e-05
130,1,train/loss,2.7435925006866455
130,1,train/lr,4.5499999999999995e-05
131,1,train/loss,2.6022090911865234
131,1,train/lr,4.5849999999999996e-05
132,1,train/loss,2.60770845413208
132,1,train/lr,4.62e-05
133,1,train/loss,2.513798713684082
133,1,train/lr,4.655e-05
134,1,train/loss,2.593358278274536
134,1,train/lr,4.69e-05
135,1,train/loss,2.4492239952087402
135,1,train/lr,4.7249999999999997e-05
136,1,train/loss,2.493281364440918
136,1,train/lr,4.76e-05
137,1,train/loss,2.4468588829040527
137,1,train/lr,4.795e-05
138,1,train/loss,3.0355234146118164
138,1,train/lr,4.8299999999999995e-05
139,1,train/loss,3.144599437713623
139,1,train/lr,4.864999999999999e-05
140,1,train/loss,2.7019009590148926
140,1,train/lr,4.899999999999999e-05
141,1,train/loss,2.4669668674468994
141,1,train/lr,4.934999999999999e-05
142,1,train/loss,2.6956851482391357
142,1,train/lr,4.9699999999999995e-05
143,1,train/loss,2.593761682510376
143,1,train/lr,5.004999999999999e-05
144,1,train/loss,2.4008541107177734
144,1,train/lr,5.039999999999999e-05
145,1,train/loss,2.5777957439422607
145,1,train/lr,5.0749999999999994e-05
146,1,train/loss,2.382498264312744
146,1,train/lr,5.1099999999999995e-05
147,1,train/loss,2.418652296066284
147,1,train/lr,5.145e-05
148,1,train/loss,2.4162373542785645
148,1,train/lr,5.179999999999999e-05
149,1,train/loss,2.3887062072753906
149,1,train/lr,5.2149999999999994e-05
150,1,train/loss,2.4803922176361084
150,1,train/lr,5.2499999999999995e-05
151,1,train/loss,2.977020740509033
151,1,train/lr,5.285e-05
152,1,train/loss,2.9382500648498535
152,1,train/lr,5.32e-05
153,1,train/loss,2.479055881500244
153,1,train/lr,5.3549999999999994e-05
154,1,train/loss,2.5168299674987793
154,1,train/lr,5.3899999999999996e-05
155,1,train/loss,2.4814257621765137
155,1,train/lr,5.425e-05
156,1,train/loss,2.523927927017212
156,1,train/lr,5.46e-05
157,1,train/loss,2.446247100830078
157,1,train/lr,5.495e-05
158,1,train/loss,2.4780445098876953
158,1,train/lr,5.5299999999999996e-05
159,1,train/loss,2.33007550239563
159,1,train/lr,5.565e-05
160,1,train/loss,2.306631565093994
160,1,train/lr,5.6e-05
161,1,train/loss,2.3583855628967285
161,1,train/lr,5.635e-05
162,1,train/loss,2.3559751510620117
162,1,train/lr,5.6699999999999996e-05
163,1,train/loss,2.810640335083008
163,1,train/lr,5.704999999999999e-05
164,1,train/loss,2.3372650146484375
164,1,train/lr,5.739999999999999e-05
165,1,train/loss,2.2690765857696533
165,1,train/lr,5.7749999999999994e-05
166,1,train/loss,2.3683342933654785
166,1,train/lr,5.809999999999999e-05
166,1,train/batches,662.0
166,1,train/compute_pct,99.90390509007048
166,1,train/compute_sec,62.11232935171574
166,1,train/data_wait_pct,0.09609490992951669
166,1,train/data_wait_sec,0.05974419807898812
166,1,train/examples,5296.0
166,1,train/examples_per_sec,85.18293982519883
166,1,train/input_tokens,626193.0
166,1,train/peak_vram_gb,6.714197635650635
166,1,train/target_tokens,424770.0
166,1,train/tokens_per_sec,16904.10082845741
166,1,train/total_sec,62.17207354979473
166,1,train/epoch_loss,3.5391746903474237
166,1,epoch1/batches,662.0
166,1,epoch1/compute_pct,99.90390509007048
166,1,epoch1/compute_sec,62.11232935171574
166,1,epoch1/data_wait_pct,0.09609490992951669
166,1,epoch1/data_wait_sec,0.05974419807898812
166,1,epoch1/examples,5296.0
166,1,epoch1/examples_per_sec,85.18293982519883
166,1,epoch1/input_tokens,626193.0
166,1,epoch1/peak_vram_gb,6.714197635650635
166,1,epoch1/target_tokens,424770.0
166,1,epoch1/tokens_per_sec,16904.10082845741
166,1,epoch1/total_sec,62.17207354979473
166,1,val/bleu,0.25907085451318823
166,1,val/chrf,12.501178693346656
166,1,val/combined,1.7996363650769507
166,1,val/eval_peak_vram_gb,6.714197635650635
166,1,val/eval_samples_per_sec,7.6168694195753295
166,1,val/eval_seconds,78.37865757101099
166,1,val/eval_tokens_per_sec,1418.8046012302427
167,2,train/loss,2.8080339431762695
167,2,train/lr,5.844999999999999e-05
168,2,train/loss,2.611923933029175
168,2,train/lr,5.879999999999999e-05
169,2,train/loss,2.555065155029297
169,2,train/lr,5.9149999999999994e-05
170,2,train/loss,2.4738969802856445
170,2,train/lr,5.9499999999999996e-05
171,2,train/loss,2.402127265930176
171,2,train/lr,5.984999999999999e-05
172,2,train/loss,2.3883557319641113
172,2,train/lr,6.019999999999999e-05
173,2,train/loss,2.540435791015625
173,2,train/lr,6.0549999999999995e-05
174,2,train/loss,2.2799723148345947
174,2,train/lr,6.0899999999999996e-05
175,2,train/loss,2.3556880950927734
175,2,train/lr,6.125e-05
176,2,train/loss,2.3077564239501953
176,2,train/lr,6.159999999999999e-05
177,2,train/loss,2.311121702194214
177,2,train/lr,6.195e-05
178,2,train/loss,2.320052146911621
178,2,train/lr,6.23e-05
179,2,train/loss,2.889469623565674
179,2,train/lr,6.264999999999999e-05
180,2,train/loss,2.8923208713531494
180,2,train/lr,6.3e-05
181,2,train/loss,2.3885204792022705
181,2,train/lr,6.335e-05
182,2,train/loss,2.446294069290161
182,2,train/lr,6.37e-05
183,2,train/loss,2.662630081176758
183,2,train/lr,6.405e-05
184,2,train/loss,2.550335168838501
184,2,train/lr,6.44e-05
185,2,train/loss,2.189368724822998
185,2,train/lr,6.475e-05
186,2,train/loss,2.373603343963623
186,2,train/lr,6.51e-05
187,2,train/loss,2.376546859741211
187,2,train/lr,6.544999999999999e-05
188,2,train/loss,2.3480100631713867
188,2,train/lr,6.579999999999999e-05
189,2,train/loss,2.178359031677246
189,2,train/lr,6.615e-05
190,2,train/loss,2.249741792678833
190,2,train/lr,6.649999999999999e-05
191,2,train/loss,2.1973891258239746
191,2,train/lr,6.684999999999999e-05
192,2,train/loss,2.6889381408691406
192,2,train/lr,6.72e-05
193,2,train/loss,2.4161458015441895
193,2,train/lr,6.754999999999999e-05
194,2,train/loss,2.4443516731262207
194,2,train/lr,6.79e-05
195,2,train/loss,2.518620491027832
195,2,train/lr,6.824999999999999e-05
196,2,train/loss,2.377713918685913
196,2,train/lr,6.859999999999999e-05
197,2,train/loss,2.1735689640045166
197,2,train/lr,6.895e-05
198,2,train/loss,2.1894307136535645
198,2,train/lr,6.929999999999999e-05
199,2,train/loss,2.1577470302581787
199,2,train/lr,6.965e-05
200,2,train/loss,2.220020294189453
200,2,train/lr,7e-05
201,2,train/loss,2.3471317291259766
201,2,train/lr,6.999998225693802e-05
202,2,train/loss,2.2063369750976562
202,2,train/lr,6.999992902777011e-05
203,2,train/loss,2.271955966949463
203,2,train/lr,6.999984031255021e-05
204,2,train/loss,2.634796142578125
204,2,train/lr,6.999971611136829e-05
205,2,train/loss,2.352968215942383
205,2,train/lr,6.999955642435026e-05
206,2,train/loss,2.668203115463257
206,2,train/lr,6.999936125165803e-05
207,2,train/loss,2.3651342391967773
207,2,train/lr,6.999913059348948e-05
208,2,train/loss,2.3287761211395264
208,2,train/lr,6.999886445007847e-05
209,2,train/loss,2.139096975326538
209,2,train/lr,6.999856282169485e-05
210,2,train/loss,2.1636343002319336
210,2,train/lr,6.999822570864443e-05
211,2,train/loss,2.1251280307769775
211,2,train/lr,6.9997853111269e-05
212,2,train/loss,2.247945785522461
212,2,train/lr,6.999744502994637e-05
213,2,train/loss,2.1425206661224365
213,2,train/lr,6.999700146509024e-05
214,2,train/loss,2.1765499114990234
214,2,train/lr,6.999652241715036e-05
215,2,train/loss,2.1544394493103027
215,2,train/lr,6.999600788661242e-05
216,2,train/loss,2.173952341079712
216,2,train/lr,6.999545787399811e-05
217,2,train/loss,2.609302520751953
217,2,train/lr,6.999487237986506e-05
218,2,train/loss,2.715938091278076
218,2,train/lr,6.999425140480695e-05
219,2,train/loss,2.4661567211151123
219,2,train/lr,6.99935949494533e-05
220,2,train/loss,2.2997961044311523
220,2,train/lr,6.999290301446975e-05
221,2,train/loss,2.488910436630249
221,2,train/lr,6.999217560055781e-05
222,2,train/loss,2.2348432540893555
222,2,train/lr,6.9991412708455e-05
223,2,train/loss,2.02085018157959
223,2,train/lr,6.999061433893484e-05
224,2,train/loss,1.9430227279663086
224,2,train/lr,6.998978049280675e-05
225,2,train/loss,2.1035408973693848
225,2,train/lr,6.998891117091616e-05
226,2,train/loss,2.2685766220092773
226,2,train/lr,6.998800637414449e-05
227,2,train/loss,2.1179957389831543
227,2,train/lr,6.99870661034091e-05
228,2,train/loss,2.1829323768615723
228,2,train/lr,6.99860903596633e-05
229,2,train/loss,2.6810898780822754
