step,epoch,metric,value
1,1,train/loss,5.0076751708984375
1,1,train/lr,5.000000000000001e-07
2,1,train/loss,5.404507637023926
2,1,train/lr,1.0000000000000002e-06
3,1,train/loss,4.846444129943848
3,1,train/lr,1.5e-06
4,1,train/loss,5.145320415496826
4,1,train/lr,2.0000000000000003e-06
5,1,train/loss,5.061941146850586
5,1,train/lr,2.5e-06
6,1,train/loss,4.935809135437012
6,1,train/lr,3e-06
7,1,train/loss,5.028763294219971
7,1,train/lr,3.5000000000000004e-06
8,1,train/loss,4.805129051208496
8,1,train/lr,4.000000000000001e-06
9,1,train/loss,4.811267852783203
9,1,train/lr,4.5e-06
10,1,train/loss,4.524993896484375
10,1,train/lr,5e-06
11,1,train/loss,4.86246919631958
11,1,train/lr,5.500000000000001e-06
12,1,train/loss,4.709531784057617
12,1,train/lr,6e-06
13,1,train/loss,4.702061653137207
13,1,train/lr,6.5000000000000004e-06
14,1,train/loss,4.981251239776611
14,1,train/lr,7.000000000000001e-06
15,1,train/loss,4.644985675811768
15,1,train/lr,7.5e-06
16,1,train/loss,4.7884907722473145
16,1,train/lr,8.000000000000001e-06
17,1,train/loss,4.541399955749512
17,1,train/lr,8.500000000000002e-06
18,1,train/loss,4.837010383605957
18,1,train/lr,9e-06
19,1,train/loss,5.539493560791016
19,1,train/lr,9.5e-06
20,1,train/loss,4.968462944030762
20,1,train/lr,1e-05
21,1,train/loss,4.289680480957031
21,1,train/lr,1.05e-05
22,1,train/loss,5.5445475578308105
22,1,train/lr,1.1000000000000001e-05
23,1,train/loss,4.5100178718566895
23,1,train/lr,1.1500000000000002e-05
24,1,train/loss,5.801782131195068
24,1,train/lr,1.2e-05
25,1,train/loss,9.217819213867188
25,1,train/lr,1.25e-05
26,1,train/loss,5.172187805175781
26,1,train/lr,1.3000000000000001e-05
27,1,train/loss,4.892442226409912
27,1,train/lr,1.3500000000000001e-05
28,1,train/loss,6.878491401672363
28,1,train/lr,1.4000000000000001e-05
29,1,train/loss,4.957651138305664
29,1,train/lr,1.45e-05
30,1,train/loss,5.095772743225098
30,1,train/lr,1.5e-05
31,1,train/loss,5.056474208831787
31,1,train/lr,1.55e-05
32,1,train/loss,5.0328216552734375
32,1,train/lr,1.6000000000000003e-05
33,1,train/loss,4.891597270965576
33,1,train/lr,1.65e-05
34,1,train/loss,4.95716667175293
34,1,train/lr,1.7000000000000003e-05
35,1,train/loss,4.616608619689941
35,1,train/lr,1.75e-05
36,1,train/loss,5.540667533874512
36,1,train/lr,1.8e-05
37,1,train/loss,4.600968360900879
37,1,train/lr,1.85e-05
38,1,train/loss,4.467872619628906
38,1,train/lr,1.9e-05
39,1,train/loss,4.634057998657227
39,1,train/lr,1.9500000000000003e-05
