step,epoch,metric,value
1,1,train/loss,18.594247817993164
1,1,train/lr,2.5000000000000004e-07
2,1,train/loss,16.126375198364258
2,1,train/lr,5.000000000000001e-07
3,1,train/loss,18.101804733276367
3,1,train/lr,7.5e-07
4,1,train/loss,17.115528106689453
4,1,train/lr,1.0000000000000002e-06
5,1,train/loss,16.95306396484375
5,1,train/lr,1.25e-06
6,1,train/loss,18.59156036376953
6,1,train/lr,1.5e-06
7,1,train/loss,16.650754928588867
7,1,train/lr,1.7500000000000002e-06
8,1,train/loss,15.886754989624023
8,1,train/lr,2.0000000000000003e-06
9,1,train/loss,16.7729549407959
9,1,train/lr,2.25e-06
10,1,train/loss,15.275019645690918
10,1,train/lr,2.5e-06
11,1,train/loss,16.020944595336914
11,1,train/lr,2.7500000000000004e-06
12,1,train/loss,16.035747528076172
12,1,train/lr,3e-06
13,1,train/loss,18.032846450805664
13,1,train/lr,3.2500000000000002e-06
14,1,train/loss,17.005870819091797
14,1,train/lr,3.5000000000000004e-06
15,1,train/loss,19.28124237060547
15,1,train/lr,3.75e-06
16,1,train/loss,17.003660202026367
16,1,train/lr,4.000000000000001e-06
17,1,train/loss,18.196868896484375
17,1,train/lr,4.250000000000001e-06
18,1,train/loss,16.53389549255371
18,1,train/lr,4.5e-06
19,1,train/loss,16.347274780273438
19,1,train/lr,4.75e-06
20,1,train/loss,14.886507034301758
20,1,train/lr,5e-06
21,1,train/loss,16.290117263793945
21,1,train/lr,5.25e-06
22,1,train/loss,16.71837043762207
22,1,train/lr,5.500000000000001e-06
23,1,train/loss,18.16006851196289
23,1,train/lr,5.750000000000001e-06
24,1,train/loss,16.088178634643555
24,1,train/lr,6e-06
25,1,train/loss,16.680374145507812
25,1,train/lr,6.25e-06
26,1,train/loss,17.223796844482422
26,1,train/lr,6.5000000000000004e-06
27,1,train/loss,16.44232940673828
27,1,train/lr,6.750000000000001e-06
28,1,train/loss,15.222771644592285
28,1,train/lr,7.000000000000001e-06
29,1,train/loss,16.661088943481445
29,1,train/lr,7.25e-06
30,1,train/loss,15.312997817993164
30,1,train/lr,7.5e-06
31,1,train/loss,16.696720123291016
31,1,train/lr,7.75e-06
32,1,train/loss,15.973346710205078
32,1,train/lr,8.000000000000001e-06
33,1,train/loss,17.529346466064453
33,1,train/lr,8.25e-06
34,1,train/loss,15.623332977294922
34,1,train/lr,8.500000000000002e-06
35,1,train/loss,16.488080978393555
35,1,train/lr,8.75e-06
36,1,train/loss,15.237774848937988
36,1,train/lr,9e-06
37,1,train/loss,14.068387031555176
37,1,train/lr,9.25e-06
38,1,train/loss,17.54339599609375
38,1,train/lr,9.5e-06
39,1,train/loss,15.540709495544434
39,1,train/lr,9.750000000000002e-06
40,1,train/loss,15.998050689697266
40,1,train/lr,1e-05
41,1,train/loss,14.652278900146484
41,1,train/lr,1.025e-05
42,1,train/loss,15.53135871887207
42,1,train/lr,1.05e-05
43,1,train/loss,17.1954402923584
43,1,train/lr,1.075e-05
44,1,train/loss,15.228869438171387
44,1,train/lr,1.1000000000000001e-05
45,1,train/loss,16.766311645507812
45,1,train/lr,1.125e-05
46,1,train/loss,15.181026458740234
46,1,train/lr,1.1500000000000002e-05
47,1,train/loss,15.437600135803223
47,1,train/lr,1.175e-05
48,1,train/loss,15.491019248962402
48,1,train/lr,1.2e-05
49,1,train/loss,15.718414306640625
49,1,train/lr,1.225e-05
50,1,train/loss,16.43589210510254
50,1,train/lr,1.25e-05
51,1,train/loss,15.188458442687988
51,1,train/lr,1.2750000000000002e-05
